"","Overall","marker","n.fold","method","variable"
"V257",313.306528038372,"V257","1","BO","1"
"V258",0,"V258","1","BO","1"
"V259",0,"V259","1","BO","1"
"V260",0,"V260","1","BO","1"
"V261",54.865383283871,"V261","1","BO","1"
"V262",0,"V262","1","BO","1"
"V263",33.0447861298984,"V263","1","BO","1"
"V264",0,"V264","1","BO","1"
"V265",0,"V265","1","BO","1"
"V266",38.6028933576655,"V266","1","BO","1"
"V267",45.444222382899,"V267","1","BO","1"
"V268",0,"V268","1","BO","1"
"V269",0,"V269","1","BO","1"
"V270",0,"V270","1","BO","1"
"V271",0,"V271","1","BO","1"
"V272",171.6584408183,"V272","1","BO","1"
"V273",42.4489076077149,"V273","1","BO","1"
"V274",0,"V274","1","BO","1"
"V275",0,"V275","1","BO","1"
"V276",0,"V276","1","BO","1"
"V277",42.3660669885211,"V277","1","BO","1"
"V278",0,"V278","1","BO","1"
"V279",0,"V279","1","BO","1"
"V280",37.7662678600697,"V280","1","BO","1"
"V281",0,"V281","1","BO","1"
"V282",0,"V282","1","BO","1"
"V283",0,"V283","1","BO","1"
"V284",0,"V284","1","BO","1"
"V285",0,"V285","1","BO","1"
"V286",0,"V286","1","BO","1"
"V287",0,"V287","1","BO","1"
"V288",30.7686481780953,"V288","1","BO","1"
"V289",0,"V289","1","BO","1"
"V290",0,"V290","1","BO","1"
"V291",0,"V291","1","BO","1"
"V292",0,"V292","1","BO","1"
"V293",0,"V293","1","BO","1"
"V294",0,"V294","1","BO","1"
"V295",0,"V295","1","BO","1"
"V296",0,"V296","1","BO","1"
"V297",0,"V297","1","BO","1"
"V298",0,"V298","1","BO","1"
"V299",0,"V299","1","BO","1"
"V300",37.3378858370027,"V300","1","BO","1"
"V301",0,"V301","1","BO","1"
"V302",0,"V302","1","BO","1"
"V303",0,"V303","1","BO","1"
"V304",0,"V304","1","BO","1"
"V305",0,"V305","1","BO","1"
"V306",0,"V306","1","BO","1"
"V307",0,"V307","1","BO","1"
"V308",0,"V308","1","BO","1"
"V309",22.9327338744754,"V309","1","BO","1"
"V310",197.607938576006,"V310","1","BO","1"
"V311",0,"V311","1","BO","1"
"V312",0,"V312","1","BO","1"
"V313",0,"V313","1","BO","1"
"V314",0,"V314","1","BO","1"
"V315",0,"V315","1","BO","1"
"V316",0,"V316","1","BO","1"
"V317",78.6387658077127,"V317","1","BO","1"
"V318",0,"V318","1","BO","1"
"V319",0,"V319","1","BO","1"
"V320",0,"V320","1","BO","1"
"V321",0,"V321","1","BO","1"
"V322",63.8828686563005,"V322","1","BO","1"
"V323",0,"V323","1","BO","1"
"V324",45.7612604784913,"V324","1","BO","1"
"V325",0,"V325","1","BO","1"
"V326",0,"V326","1","BO","1"
"V327",0,"V327","1","BO","1"
"V328",0,"V328","1","BO","1"
"V329",0,"V329","1","BO","1"
"V330",0,"V330","1","BO","1"
"V331",0,"V331","1","BO","1"
"V332",0,"V332","1","BO","1"
"V333",0,"V333","1","BO","1"
"V334",92.2959875338128,"V334","1","BO","1"
"V335",0,"V335","1","BO","1"
"V336",0,"V336","1","BO","1"
"V337",0,"V337","1","BO","1"
"V338",35.0532946383301,"V338","1","BO","1"
"V339",0,"V339","1","BO","1"
"V340",0,"V340","1","BO","1"
"V341",0,"V341","1","BO","1"
"V342",0,"V342","1","BO","1"
"V343",42.90192455107,"V343","1","BO","1"
"V344",0,"V344","1","BO","1"
"V345",0,"V345","1","BO","1"
"V346",0,"V346","1","BO","1"
"V347",0,"V347","1","BO","1"
"V348",25.240438784813,"V348","1","BO","1"
"V349",0,"V349","1","BO","1"
"V350",0,"V350","1","BO","1"
"V351",61.6455498069223,"V351","1","BO","1"
"V352",0,"V352","1","BO","1"
"V353",0,"V353","1","BO","1"
"V354",0,"V354","1","BO","1"
"V355",0,"V355","1","BO","1"
"V356",0,"V356","1","BO","1"
"V357",0,"V357","1","BO","1"
"V358",0,"V358","1","BO","1"
"V359",0,"V359","1","BO","1"
"V360",0,"V360","1","BO","1"
"V361",0,"V361","1","BO","1"
"V362",0,"V362","1","BO","1"
"V363",0,"V363","1","BO","1"
"V364",0,"V364","1","BO","1"
"V365",0,"V365","1","BO","1"
"V366",0,"V366","1","BO","1"
"V367",0,"V367","1","BO","1"
"V368",0,"V368","1","BO","1"
"V369",0,"V369","1","BO","1"
"V370",93.9044444168121,"V370","1","BO","1"
"V371",0,"V371","1","BO","1"
"V372",0,"V372","1","BO","1"
"V373",113.719721837562,"V373","1","BO","1"
"V374",0,"V374","1","BO","1"
"V375",0,"V375","1","BO","1"
"V376",0,"V376","1","BO","1"
"V377",0,"V377","1","BO","1"
"V378",0,"V378","1","BO","1"
"V379",0,"V379","1","BO","1"
"V380",0,"V380","1","BO","1"
"V381",0,"V381","1","BO","1"
"V382",0,"V382","1","BO","1"
"V383",0,"V383","1","BO","1"
"V384",85.962780945417,"V384","1","BO","1"
"V385",0,"V385","1","BO","1"
"V386",0,"V386","1","BO","1"
"V387",0,"V387","1","BO","1"
"V388",22.8215209467511,"V388","1","BO","1"
"V389",0,"V389","1","BO","1"
"V390",34.7544487930446,"V390","1","BO","1"
"V391",0,"V391","1","BO","1"
"V392",0,"V392","1","BO","1"
"V393",31.9920951611906,"V393","1","BO","1"
"V394",0,"V394","1","BO","1"
"V395",46.4012956549464,"V395","1","BO","1"
"V396",0,"V396","1","BO","1"
"V397",0,"V397","1","BO","1"
"V398",0,"V398","1","BO","1"
"V399",0,"V399","1","BO","1"
"V400",48.683804699585,"V400","1","BO","1"
"V401",73.6557787390197,"V401","1","BO","1"
"V402",225.550459744478,"V402","1","BO","1"
"V403",0,"V403","1","BO","1"
"V404",0,"V404","1","BO","1"
"V405",0,"V405","1","BO","1"
"V406",38.4002688953132,"V406","1","BO","1"
"V407",75.5154211259096,"V407","1","BO","1"
"V408",0,"V408","1","BO","1"
"V409",0,"V409","1","BO","1"
"V410",0,"V410","1","BO","1"
"V411",0,"V411","1","BO","1"
"V412",33.6643158003937,"V412","1","BO","1"
"V413",0,"V413","1","BO","1"
"V414",0,"V414","1","BO","1"
"V415",0,"V415","1","BO","1"
"V416",0,"V416","1","BO","1"
"V417",0,"V417","1","BO","1"
"V418",0,"V418","1","BO","1"
"V419",0,"V419","1","BO","1"
"V420",136.217248846517,"V420","1","BO","1"
"V421",0,"V421","1","BO","1"
"V422",24.559192329092,"V422","1","BO","1"
"V423",0,"V423","1","BO","1"
"V424",0,"V424","1","BO","1"
"V425",23.6667784397281,"V425","1","BO","1"
"V426",0,"V426","1","BO","1"
"V427",0,"V427","1","BO","1"
"V428",0,"V428","1","BO","1"
"V429",0,"V429","1","BO","1"
"V430",0,"V430","1","BO","1"
"V431",47.3670788580786,"V431","1","BO","1"
"V432",0,"V432","1","BO","1"
"V433",0,"V433","1","BO","1"
"V434",76.144425094511,"V434","1","BO","1"
"V435",0,"V435","1","BO","1"
"V436",0,"V436","1","BO","1"
"V437",0,"V437","1","BO","1"
"V438",0,"V438","1","BO","1"
"V439",66.9605418775581,"V439","1","BO","1"
"V440",0,"V440","1","BO","1"
"V441",30.1430012024107,"V441","1","BO","1"
"V442",0,"V442","1","BO","1"
"V443",0,"V443","1","BO","1"
"V444",0,"V444","1","BO","1"
"V445",0,"V445","1","BO","1"
"V446",145.789191992489,"V446","1","BO","1"
"V447",0,"V447","1","BO","1"
"V448",0,"V448","1","BO","1"
"V449",0,"V449","1","BO","1"
"V450",0,"V450","1","BO","1"
"V451",56.2104216551294,"V451","1","BO","1"
"V452",0,"V452","1","BO","1"
"V453",0,"V453","1","BO","1"
"V454",52.9811766175776,"V454","1","BO","1"
"V455",0,"V455","1","BO","1"
"V456",0,"V456","1","BO","1"
"V457",0,"V457","1","BO","1"
"V458",0,"V458","1","BO","1"
"V459",0,"V459","1","BO","1"
"V460",0,"V460","1","BO","1"
"V461",0,"V461","1","BO","1"
"V462",14.9380149111603,"V462","1","BO","1"
"V463",0,"V463","1","BO","1"
"V464",139.855395040175,"V464","1","BO","1"
"V465",0,"V465","1","BO","1"
"V466",0,"V466","1","BO","1"
"V467",0,"V467","1","BO","1"
"V468",0,"V468","1","BO","1"
"V469",0,"V469","1","BO","1"
"V470",0,"V470","1","BO","1"
"V471",0,"V471","1","BO","1"
"V472",35.802716430804,"V472","1","BO","1"
"V473",0,"V473","1","BO","1"
"V474",0,"V474","1","BO","1"
"V475",0,"V475","1","BO","1"
"V476",0,"V476","1","BO","1"
"V477",0,"V477","1","BO","1"
"V478",0,"V478","1","BO","1"
"V479",0,"V479","1","BO","1"
"V480",0,"V480","1","BO","1"
"V481",0,"V481","1","BO","1"
"V482",0,"V482","1","BO","1"
"V483",0,"V483","1","BO","1"
"V484",0,"V484","1","BO","1"
"V485",0,"V485","1","BO","1"
"V486",0,"V486","1","BO","1"
"V487",0,"V487","1","BO","1"
"V488",0,"V488","1","BO","1"
"V489",84.2985486387223,"V489","1","BO","1"
"V490",0,"V490","1","BO","1"
"V491",0,"V491","1","BO","1"
"V492",0,"V492","1","BO","1"
"V493",0,"V493","1","BO","1"
"V494",0,"V494","1","BO","1"
"V495",0,"V495","1","BO","1"
"V496",0,"V496","1","BO","1"
"V497",0,"V497","1","BO","1"
"V498",0,"V498","1","BO","1"
"V499",0,"V499","1","BO","1"
"V500",0,"V500","1","BO","1"
"V501",0,"V501","1","BO","1"
"V502",0,"V502","1","BO","1"
"V503",0,"V503","1","BO","1"
"V504",0,"V504","1","BO","1"
"V505",0,"V505","1","BO","1"
"V506",0,"V506","1","BO","1"
"V507",0,"V507","1","BO","1"
"V508",0,"V508","1","BO","1"
"V509",20.2761665871195,"V509","1","BO","1"
"V510",0,"V510","1","BO","1"
"V511",0,"V511","1","BO","1"
"V512",0,"V512","1","BO","1"
"V513",0,"V513","1","BO","1"
"V514",0,"V514","1","BO","1"
"V515",0,"V515","1","BO","1"
"V516",0,"V516","1","BO","1"
"V517",0,"V517","1","BO","1"
"V518",0,"V518","1","BO","1"
"V519",0,"V519","1","BO","1"
"V520",0,"V520","1","BO","1"
"V521",0,"V521","1","BO","1"
"V522",27.8650450767742,"V522","1","BO","1"
"V523",0,"V523","1","BO","1"
"V524",0,"V524","1","BO","1"
"V525",69.8182955072034,"V525","1","BO","1"
"V526",0,"V526","1","BO","1"
"V527",0,"V527","1","BO","1"
"V528",0,"V528","1","BO","1"
"V529",0,"V529","1","BO","1"
"V530",0,"V530","1","BO","1"
"V531",0,"V531","1","BO","1"
"V532",0,"V532","1","BO","1"
"V533",0,"V533","1","BO","1"
"V534",52.1700610212849,"V534","1","BO","1"
"V535",0,"V535","1","BO","1"
"V536",0,"V536","1","BO","1"
"V537",0,"V537","1","BO","1"
"V538",35.5762403458256,"V538","1","BO","1"
"V539",83.6534331853234,"V539","1","BO","1"
"V540",0,"V540","1","BO","1"
"V541",0,"V541","1","BO","1"
"V542",27.7444530371235,"V542","1","BO","1"
"V543",0,"V543","1","BO","1"
"V544",33.5914944265061,"V544","1","BO","1"
"V545",0,"V545","1","BO","1"
"V546",0,"V546","1","BO","1"
"V547",92.7406111042769,"V547","1","BO","1"
"V548",0,"V548","1","BO","1"
"V549",46.9123863393843,"V549","1","BO","1"
"V550",0,"V550","1","BO","1"
"V551",0,"V551","1","BO","1"
"V552",0,"V552","1","BO","1"
"V553",0,"V553","1","BO","1"
"V554",0,"V554","1","BO","1"
"V555",0,"V555","1","BO","1"
"V556",17.8681858250979,"V556","1","BO","1"
"V557",0,"V557","1","BO","1"
"V558",0,"V558","1","BO","1"
"V559",0,"V559","1","BO","1"
"V560",0,"V560","1","BO","1"
"V561",0,"V561","1","BO","1"
"V562",0,"V562","1","BO","1"
"V563",43.8644093775353,"V563","1","BO","1"
"V564",0,"V564","1","BO","1"
"V565",0,"V565","1","BO","1"
"V566",0,"V566","1","BO","1"
"V567",0,"V567","1","BO","1"
"V568",25.0117191441161,"V568","1","BO","1"
"V569",0,"V569","1","BO","1"
"V570",0,"V570","1","BO","1"
"V571",0,"V571","1","BO","1"
"V572",0,"V572","1","BO","1"
"V573",0,"V573","1","BO","1"
"V574",0,"V574","1","BO","1"
"V575",0,"V575","1","BO","1"
"V576",0,"V576","1","BO","1"
"V577",0,"V577","1","BO","1"
"V578",0,"V578","1","BO","1"
"V579",33.8721428439438,"V579","1","BO","1"
"V580",86.4078508905915,"V580","1","BO","1"
"V581",0,"V581","1","BO","1"
"V582",0,"V582","1","BO","1"
"V583",0,"V583","1","BO","1"
"V584",0,"V584","1","BO","1"
"V585",0,"V585","1","BO","1"
"V586",0,"V586","1","BO","1"
"V587",0,"V587","1","BO","1"
"V588",0,"V588","1","BO","1"
"V589",0,"V589","1","BO","1"
"V590",0,"V590","1","BO","1"
"V591",0,"V591","1","BO","1"
"V592",0,"V592","1","BO","1"
"V593",0,"V593","1","BO","1"
"V594",0,"V594","1","BO","1"
"V595",0,"V595","1","BO","1"
"V596",0,"V596","1","BO","1"
"V597",0,"V597","1","BO","1"
"V598",0,"V598","1","BO","1"
"V599",0,"V599","1","BO","1"
"V600",74.5980016950618,"V600","1","BO","1"
"V601",0,"V601","1","BO","1"
"V602",42.2193342989048,"V602","1","BO","1"
"V603",337.598599099363,"V603","1","BO","1"
"V604",0,"V604","1","BO","1"
"V605",0,"V605","1","BO","1"
"V606",154.565770822915,"V606","1","BO","1"
"V607",44.7608910757717,"V607","1","BO","1"
"V608",245.694664755681,"V608","1","BO","1"
"V609",0,"V609","1","BO","1"
"V610",0,"V610","1","BO","1"
"V611",0,"V611","1","BO","1"
"V612",0,"V612","1","BO","1"
"V613",0,"V613","1","BO","1"
"V614",238.557234055008,"V614","1","BO","1"
"V615",0,"V615","1","BO","1"
"V616",0,"V616","1","BO","1"
"V617",0,"V617","1","BO","1"
"V618",0,"V618","1","BO","1"
"V619",41.3395671366428,"V619","1","BO","1"
"V620",0,"V620","1","BO","1"
"V621",0,"V621","1","BO","1"
"V622",0,"V622","1","BO","1"
"V623",0,"V623","1","BO","1"
"V624",0,"V624","1","BO","1"
"V625",0,"V625","1","BO","1"
"V626",0,"V626","1","BO","1"
"V627",0,"V627","1","BO","1"
"V628",0,"V628","1","BO","1"
"V629",0,"V629","1","BO","1"
"V630",0,"V630","1","BO","1"
"V631",0,"V631","1","BO","1"
"V632",0,"V632","1","BO","1"
"V633",0,"V633","1","BO","1"
"V634",54.2788929050445,"V634","1","BO","1"
"V635",0,"V635","1","BO","1"
"V636",0,"V636","1","BO","1"
"V637",0,"V637","1","BO","1"
"V638",0,"V638","1","BO","1"
"V639",0,"V639","1","BO","1"
"V640",63.8655680633055,"V640","1","BO","1"
"V641",18.3683983999804,"V641","1","BO","1"
"V642",0,"V642","1","BO","1"
"V643",0,"V643","1","BO","1"
"V644",0,"V644","1","BO","1"
"V645",0,"V645","1","BO","1"
"V646",0,"V646","1","BO","1"
"V647",51.7783917875077,"V647","1","BO","1"
"V648",0,"V648","1","BO","1"
"V649",0,"V649","1","BO","1"
"V650",0,"V650","1","BO","1"
"V651",30.9133768200527,"V651","1","BO","1"
"V652",0,"V652","1","BO","1"
"V653",0,"V653","1","BO","1"
"V654",0,"V654","1","BO","1"
"V655",0,"V655","1","BO","1"
"V656",0,"V656","1","BO","1"
"V657",0,"V657","1","BO","1"
"V658",0,"V658","1","BO","1"
"V659",0,"V659","1","BO","1"
"V660",0,"V660","1","BO","1"
"V661",89.0097242378314,"V661","1","BO","1"
"V662",0,"V662","1","BO","1"
"V663",0,"V663","1","BO","1"
"V664",0,"V664","1","BO","1"
"V665",0,"V665","1","BO","1"
"V666",0,"V666","1","BO","1"
"V667",0,"V667","1","BO","1"
"V668",0,"V668","1","BO","1"
"V669",0,"V669","1","BO","1"
"V670",49.3033681532667,"V670","1","BO","1"
"V671",0,"V671","1","BO","1"
"V672",0,"V672","1","BO","1"
"V673",0,"V673","1","BO","1"
"V674",0,"V674","1","BO","1"
"V675",0,"V675","1","BO","1"
"V676",0,"V676","1","BO","1"
"V677",0,"V677","1","BO","1"
"V678",0,"V678","1","BO","1"
"V679",0,"V679","1","BO","1"
"V680",0,"V680","1","BO","1"
"V681",0,"V681","1","BO","1"
"V682",0,"V682","1","BO","1"
"V683",0,"V683","1","BO","1"
"V684",59.8539968192591,"V684","1","BO","1"
"V685",0,"V685","1","BO","1"
"V686",0,"V686","1","BO","1"
"V687",0,"V687","1","BO","1"
"V688",0,"V688","1","BO","1"
"V689",0,"V689","1","BO","1"
"V690",0,"V690","1","BO","1"
"V691",149.235988647461,"V691","1","BO","1"
"V692",41.3740748545047,"V692","1","BO","1"
"V693",0,"V693","1","BO","1"
"V694",0,"V694","1","BO","1"
"V695",0,"V695","1","BO","1"
"V696",0,"V696","1","BO","1"
"V697",0,"V697","1","BO","1"
"V698",0,"V698","1","BO","1"
"V699",0,"V699","1","BO","1"
"V700",0,"V700","1","BO","1"
"V701",0,"V701","1","BO","1"
"V702",55.6067372796874,"V702","1","BO","1"
"V703",0,"V703","1","BO","1"
"V704",0,"V704","1","BO","1"
"V705",0,"V705","1","BO","1"
"V706",0,"V706","1","BO","1"
"V707",0,"V707","1","BO","1"
"V708",0,"V708","1","BO","1"
"V709",0,"V709","1","BO","1"
"V710",0,"V710","1","BO","1"
"V711",53.3582059313822,"V711","1","BO","1"
"V712",0,"V712","1","BO","1"
"V713",40.2148783128191,"V713","1","BO","1"
"V714",0,"V714","1","BO","1"
"V715",0,"V715","1","BO","1"
"V716",0,"V716","1","BO","1"
"V717",15.3334306629329,"V717","1","BO","1"
"V718",0,"V718","1","BO","1"
"V719",0,"V719","1","BO","1"
"V720",0,"V720","1","BO","1"
"V721",0,"V721","1","BO","1"
"V722",0,"V722","1","BO","1"
"V723",42.7546461948961,"V723","1","BO","1"
"V724",0,"V724","1","BO","1"
"V725",0,"V725","1","BO","1"
"V726",158.847796090261,"V726","1","BO","1"
"V727",0,"V727","1","BO","1"
"V728",0,"V728","1","BO","1"
"V729",0,"V729","1","BO","1"
"V730",0,"V730","1","BO","1"
"V731",0,"V731","1","BO","1"
"V732",0,"V732","1","BO","1"
