"","Overall","marker","n.fold","method","variable"
"V45",1.28909399386459,"V45","1","RF","1"
"V46",0.776267938798991,"V46","1","RF","1"
"V47",1.01514685679725,"V47","1","RF","1"
"V48",1.40124601361737,"V48","1","RF","1"
"V49",3.08154201510988,"V49","1","RF","1"
"V50",1.650706417895,"V50","1","RF","1"
"V51",1.69384098558254,"V51","1","RF","1"
"V52",1.87978579979665,"V52","1","RF","1"
"V53",1.76522401983145,"V53","1","RF","1"
"V54",0.460399818793162,"V54","1","RF","1"
"V55",2.35542964446534,"V55","1","RF","1"
"V56",1.78187579053308,"V56","1","RF","1"
"V57",1.33693502490006,"V57","1","RF","1"
"V58",2.17679592838337,"V58","1","RF","1"
"V59",3.39346681640665,"V59","1","RF","1"
"V60",1.13694041023172,"V60","1","RF","1"
"V61",1.71197771635691,"V61","1","RF","1"
"V62",2.18315941889285,"V62","1","RF","1"
"V63",1.14143432506985,"V63","1","RF","1"
"V64",3.47223349889075,"V64","1","RF","1"
"V65",0.681784788141414,"V65","1","RF","1"
"V66",1.76011492959083,"V66","1","RF","1"
"V67",1.37082788280566,"V67","1","RF","1"
"V68",1.5015449387413,"V68","1","RF","1"
"V69",2.70072429984622,"V69","1","RF","1"
"V70",2.15958771841583,"V70","1","RF","1"
"V71",2.1782020140172,"V71","1","RF","1"
"V72",3.11577185712252,"V72","1","RF","1"
"V73",1.45826383267771,"V73","1","RF","1"
"V74",1.52968100424426,"V74","1","RF","1"
"V75",1.95991032267289,"V75","1","RF","1"
"V76",1.30490428860275,"V76","1","RF","1"
"V77",2.13832718302343,"V77","1","RF","1"
"V78",2.36867558421122,"V78","1","RF","1"
"V79",2.72821987105185,"V79","1","RF","1"
"V80",1.28310106535671,"V80","1","RF","1"
"V81",1.97822197640473,"V81","1","RF","1"
"V82",4.33924439969105,"V82","1","RF","1"
"V83",3.11881384092807,"V83","1","RF","1"
"V84",3.27830390136563,"V84","1","RF","1"
"V85",2.49866451503042,"V85","1","RF","1"
"V86",2.43678199497848,"V86","1","RF","1"
"V87",1.82209912412265,"V87","1","RF","1"
"V88",3.39209889010711,"V88","1","RF","1"
"V89",1.47979329705095,"V89","1","RF","1"
"V90",2.09615661977573,"V90","1","RF","1"
"V91",2.88585771607667,"V91","1","RF","1"
"V92",2.61624264654388,"V92","1","RF","1"
"V93",2.63800095741845,"V93","1","RF","1"
"V94",1.52023154732723,"V94","1","RF","1"
"V95",1.95677019917641,"V95","1","RF","1"
"V96",1.63586424817674,"V96","1","RF","1"
"V97",1.97464501508573,"V97","1","RF","1"
"V98",2.13855897835616,"V98","1","RF","1"
"V99",1.22638845108552,"V99","1","RF","1"
"V100",2.31175475991584,"V100","1","RF","1"
"V101",1.25933005461832,"V101","1","RF","1"
"V102",4.03027603493645,"V102","1","RF","1"
"V103",0.862242262909137,"V103","1","RF","1"
"V104",1.23954070850456,"V104","1","RF","1"
"V105",2.91177534907849,"V105","1","RF","1"
"V106",1.73609430228378,"V106","1","RF","1"
"V107",2.64580473338295,"V107","1","RF","1"
"V108",2.03084199418985,"V108","1","RF","1"
"V109",2.19012390774058,"V109","1","RF","1"
"V110",0.906211674206882,"V110","1","RF","1"
"V111",2.32114915728555,"V111","1","RF","1"
"V112",0.957945328136369,"V112","1","RF","1"
"V113",1.92214907423102,"V113","1","RF","1"
"V114",2.55591305960563,"V114","1","RF","1"
"V115",2.75508919109442,"V115","1","RF","1"
"V116",1.72703790869845,"V116","1","RF","1"
"V117",1.9357976447131,"V117","1","RF","1"
"V118",1.56664436535237,"V118","1","RF","1"
"V119",2.33492360557591,"V119","1","RF","1"
"V120",2.94066707857948,"V120","1","RF","1"
"V121",2.15749372691362,"V121","1","RF","1"
"V122",1.97948710356188,"V122","1","RF","1"
"V123",1.14665006131969,"V123","1","RF","1"
"V124",1.37742604744641,"V124","1","RF","1"
"V125",2.37220547000774,"V125","1","RF","1"
"V126",1.51338943098669,"V126","1","RF","1"
"V127",2.01043080061097,"V127","1","RF","1"
"V128",1.00887926079818,"V128","1","RF","1"
"V129",1.05557584399442,"V129","1","RF","1"
"V130",1.615353139875,"V130","1","RF","1"
"V131",1.71092743999546,"V131","1","RF","1"
"V132",2.64960407537808,"V132","1","RF","1"
"V133",2.03049962781909,"V133","1","RF","1"
"V134",1.45508907245096,"V134","1","RF","1"
"V135",2.59257901853958,"V135","1","RF","1"
"V136",2.03870083643655,"V136","1","RF","1"
"V137",2.14894993712644,"V137","1","RF","1"
"V138",0.801972351588641,"V138","1","RF","1"
"V139",1.39657074151463,"V139","1","RF","1"
"V140",1.38533850789711,"V140","1","RF","1"
"V141",1.50230409141797,"V141","1","RF","1"
"V142",1.03951931576529,"V142","1","RF","1"
"V143",1.37403919359389,"V143","1","RF","1"
"V144",2.10259814747604,"V144","1","RF","1"
"V145",1.55727349195822,"V145","1","RF","1"
"V146",1.55228504269174,"V146","1","RF","1"
"V147",1.22763428729704,"V147","1","RF","1"
"V148",3.06452218473087,"V148","1","RF","1"
"V149",1.50386587959307,"V149","1","RF","1"
"V150",0.978101441624868,"V150","1","RF","1"
"V151",1.38559853377399,"V151","1","RF","1"
"V152",1.55567038984214,"V152","1","RF","1"
"V153",1.21658294887174,"V153","1","RF","1"
"V154",1.60984723600885,"V154","1","RF","1"
"V155",2.82570339589778,"V155","1","RF","1"
"V156",1.46474582323212,"V156","1","RF","1"
"V157",1.91527717746964,"V157","1","RF","1"
"V158",0.558083886228019,"V158","1","RF","1"
"V159",1.45395570055055,"V159","1","RF","1"
"V160",1.86005256088252,"V160","1","RF","1"
"V161",1.32327066569863,"V161","1","RF","1"
"V162",1.00204078334796,"V162","1","RF","1"
"V163",0.942835333701189,"V163","1","RF","1"
"V164",1.35377745075574,"V164","1","RF","1"
"V165",2.82087655336879,"V165","1","RF","1"
"V166",2.18798095529177,"V166","1","RF","1"
"V167",1.88172576016112,"V167","1","RF","1"
"V168",3.41047360644892,"V168","1","RF","1"
"V169",4.71671773446911,"V169","1","RF","1"
"V170",3.27534960197412,"V170","1","RF","1"
"V171",2.61458717149788,"V171","1","RF","1"
"V172",6.55978525986736,"V172","1","RF","1"
"V173",2.9547568901497,"V173","1","RF","1"
"V174",4.75441499992168,"V174","1","RF","1"
"V175",4.69706511048745,"V175","1","RF","1"
"V176",1.75237068159014,"V176","1","RF","1"
"V177",4.81123467103644,"V177","1","RF","1"
"V178",1.18946376431392,"V178","1","RF","1"
"V179",3.77676578640541,"V179","1","RF","1"
"V180",3.16251179731842,"V180","1","RF","1"
"V181",1.20634694762394,"V181","1","RF","1"
"V182",2.28271377612195,"V182","1","RF","1"
"V183",1.23008417494727,"V183","1","RF","1"
"V184",1.38896796142187,"V184","1","RF","1"
"V185",2.0093811985372,"V185","1","RF","1"
"V186",2.96928162385059,"V186","1","RF","1"
"V187",1.75227446593695,"V187","1","RF","1"
"V188",2.39134601552798,"V188","1","RF","1"
"V189",2.24397016785827,"V189","1","RF","1"
"V190",2.3470363377323,"V190","1","RF","1"
"V191",1.48985024694708,"V191","1","RF","1"
"V192",0.769490307517404,"V192","1","RF","1"
"V193",2.85039952225024,"V193","1","RF","1"
"V194",3.53688923726679,"V194","1","RF","1"
"V195",2.239446635116,"V195","1","RF","1"
"V196",2.05206262422841,"V196","1","RF","1"
"V197",3.0630228065918,"V197","1","RF","1"
"V198",1.87237988313083,"V198","1","RF","1"
"V199",1.85360601324116,"V199","1","RF","1"
"V200",2.82132178889283,"V200","1","RF","1"
"V201",2.6004958321185,"V201","1","RF","1"
"V202",2.14508172489901,"V202","1","RF","1"
"V203",3.88134339781281,"V203","1","RF","1"
"V204",4.15006944646975,"V204","1","RF","1"
"V205",2.46922154567156,"V205","1","RF","1"
"V206",2.83935314661278,"V206","1","RF","1"
"V207",6.94122541307947,"V207","1","RF","1"
"V208",5.8898293752703,"V208","1","RF","1"
"V209",3.17521561228779,"V209","1","RF","1"
"V210",4.84882935771272,"V210","1","RF","1"
"V211",6.27580911746755,"V211","1","RF","1"
"V212",3.74180356889645,"V212","1","RF","1"
"V213",2.2886261849219,"V213","1","RF","1"
"V214",1.74866793453118,"V214","1","RF","1"
"V215",3.43388289213067,"V215","1","RF","1"
"V216",0.63913428996091,"V216","1","RF","1"
"V217",2.11608671387924,"V217","1","RF","1"
"V218",1.49602018799789,"V218","1","RF","1"
"V219",1.58911627586534,"V219","1","RF","1"
"V220",1.30093219225914,"V220","1","RF","1"
"V221",2.11468815985086,"V221","1","RF","1"
"V222",1.80049838672443,"V222","1","RF","1"
"V223",1.54724645577795,"V223","1","RF","1"
"V224",1.97347723985909,"V224","1","RF","1"
"V225",0.860074091979808,"V225","1","RF","1"
"V226",1.3969631271921,"V226","1","RF","1"
"V227",2.10933066898029,"V227","1","RF","1"
"V228",1.82894318066236,"V228","1","RF","1"
"V229",1.11186187636944,"V229","1","RF","1"
"V230",1.57237007611045,"V230","1","RF","1"
"V231",0.651155275902364,"V231","1","RF","1"
"V232",0.956113932023123,"V232","1","RF","1"
"V233",1.60705453544878,"V233","1","RF","1"
"V234",1.46701710599674,"V234","1","RF","1"
"V235",1.72947750957921,"V235","1","RF","1"
"V236",0.848791515440559,"V236","1","RF","1"
"V237",2.44328369750772,"V237","1","RF","1"
"V238",1.22569132718229,"V238","1","RF","1"
"V239",0.955153212024423,"V239","1","RF","1"
"V240",1.32582266907789,"V240","1","RF","1"
"V241",2.07437656394801,"V241","1","RF","1"
"V242",3.11330711634416,"V242","1","RF","1"
"V243",2.47223730497221,"V243","1","RF","1"
"V244",1.33719710684753,"V244","1","RF","1"
"V245",2.09998444777195,"V245","1","RF","1"
"V246",0.862717833008511,"V246","1","RF","1"
"V247",2.09434517938756,"V247","1","RF","1"
"V248",1.96706834893197,"V248","1","RF","1"
"V249",2.15516853161236,"V249","1","RF","1"
"V250",1.45454253262157,"V250","1","RF","1"
"V251",1.29376692387399,"V251","1","RF","1"
"V252",0.974789459932034,"V252","1","RF","1"
"V253",2.57354525852433,"V253","1","RF","1"
"V254",0.904144150575975,"V254","1","RF","1"
"V255",2.44774208253253,"V255","1","RF","1"
"V256",1.68169828860886,"V256","1","RF","1"
"V257",2.39922866631229,"V257","1","RF","1"
"V258",3.6843607868378,"V258","1","RF","1"
"V259",2.38086921173681,"V259","1","RF","1"
"V260",3.47652961410345,"V260","1","RF","1"
"V261",1.89858552645401,"V261","1","RF","1"
"V262",3.94033162021711,"V262","1","RF","1"
"V263",4.09130877240198,"V263","1","RF","1"
"V264",2.58313794877724,"V264","1","RF","1"
"V265",6.74937939466037,"V265","1","RF","1"
"V266",5.62166575787373,"V266","1","RF","1"
"V267",6.18177996038175,"V267","1","RF","1"
"V268",3.46310659600878,"V268","1","RF","1"
"V269",3.26774549745758,"V269","1","RF","1"
"V270",3.25023375841089,"V270","1","RF","1"
"V271",5.28870382873624,"V271","1","RF","1"
"V272",5.15946508905105,"V272","1","RF","1"
"V273",2.695960670349,"V273","1","RF","1"
"V274",2.54256411211475,"V274","1","RF","1"
"V275",1.37282652881202,"V275","1","RF","1"
"V276",2.16234685933951,"V276","1","RF","1"
"V277",4.90846279229559,"V277","1","RF","1"
"V278",2.70365898665188,"V278","1","RF","1"
"V279",3.19085636642139,"V279","1","RF","1"
"V280",1.50079236387096,"V280","1","RF","1"
"V281",1.00685121058973,"V281","1","RF","1"
"V282",0.87472354987788,"V282","1","RF","1"
"V283",1.55392607006513,"V283","1","RF","1"
"V284",0.777354913544045,"V284","1","RF","1"
"V285",1.86993619197154,"V285","1","RF","1"
"V286",1.8040095809694,"V286","1","RF","1"
"V287",3.20436358645714,"V287","1","RF","1"
"V288",1.09993712573399,"V288","1","RF","1"
"V289",1.8918555588734,"V289","1","RF","1"
"V290",1.54496484384056,"V290","1","RF","1"
"V291",1.87781429625263,"V291","1","RF","1"
"V292",0.769322643692956,"V292","1","RF","1"
"V293",2.02306035938273,"V293","1","RF","1"
"V294",1.90984379461678,"V294","1","RF","1"
"V295",2.37859447534069,"V295","1","RF","1"
"V296",2.46815682259634,"V296","1","RF","1"
"V297",3.08927566211496,"V297","1","RF","1"
"V298",2.80241201437773,"V298","1","RF","1"
"V299",5.88020042659095,"V299","1","RF","1"
"V300",2.67142224789059,"V300","1","RF","1"
"V301",2.39199836649397,"V301","1","RF","1"
"V302",2.09359446015129,"V302","1","RF","1"
"V303",2.42461415433864,"V303","1","RF","1"
"V304",2.06359649285657,"V304","1","RF","1"
"V305",3.05557206388017,"V305","1","RF","1"
"V306",3.81787986816315,"V306","1","RF","1"
"V307",3.51596390489907,"V307","1","RF","1"
"V308",3.73851034784659,"V308","1","RF","1"
"V309",7.91885839758742,"V309","1","RF","1"
"V310",10.7265806431378,"V310","1","RF","1"
"V311",2.72534078080086,"V311","1","RF","1"
"V312",3.95851639112176,"V312","1","RF","1"
"V313",3.97417891044706,"V313","1","RF","1"
"V314",2.57359442496637,"V314","1","RF","1"
"V315",3.28766950608901,"V315","1","RF","1"
"V316",3.26740431078794,"V316","1","RF","1"
"V317",2.20825080706858,"V317","1","RF","1"
"V318",2.06837172679292,"V318","1","RF","1"
"V319",2.29402165399361,"V319","1","RF","1"
"V320",3.17429457314308,"V320","1","RF","1"
"V321",1.47374023611506,"V321","1","RF","1"
"V322",1.24328746342541,"V322","1","RF","1"
"V323",0.817002765317709,"V323","1","RF","1"
"V324",1.61129830002688,"V324","1","RF","1"
"V325",2.2618643686593,"V325","1","RF","1"
"V326",3.17828209583675,"V326","1","RF","1"
"V327",2.23426240500479,"V327","1","RF","1"
"V328",1.80459528972412,"V328","1","RF","1"
"V329",0.918365494485001,"V329","1","RF","1"
"V330",1.40770430403396,"V330","1","RF","1"
"V331",0.944597521299399,"V331","1","RF","1"
"V332",1.24996866728657,"V332","1","RF","1"
"V333",1.66465993427779,"V333","1","RF","1"
"V334",1.26795569211111,"V334","1","RF","1"
"V335",1.58459614961269,"V335","1","RF","1"
"V336",2.60873064722829,"V336","1","RF","1"
"V337",1.88967167844968,"V337","1","RF","1"
"V338",1.17901410416621,"V338","1","RF","1"
"V339",0.8960330833897,"V339","1","RF","1"
"V340",3.42493971569283,"V340","1","RF","1"
"V341",1.49919751344209,"V341","1","RF","1"
"V342",1.19033815991448,"V342","1","RF","1"
"V343",1.48386657872633,"V343","1","RF","1"
"V344",2.39188542025886,"V344","1","RF","1"
"V345",0.839089931874633,"V345","1","RF","1"
"V346",1.65324786317197,"V346","1","RF","1"
"V347",1.15486474319756,"V347","1","RF","1"
"V348",1.85764265613581,"V348","1","RF","1"
"V349",1.12860357101455,"V349","1","RF","1"
"V350",1.69352628210883,"V350","1","RF","1"
"V351",1.23225994447652,"V351","1","RF","1"
"V352",0.778471817491087,"V352","1","RF","1"
"V353",0.885066739467236,"V353","1","RF","1"
"V354",1.29803592971436,"V354","1","RF","1"
"V355",1.59361956795445,"V355","1","RF","1"
"V356",1.71129314199118,"V356","1","RF","1"
"V357",1.14358265008321,"V357","1","RF","1"
"V358",1.12330846795061,"V358","1","RF","1"
"V359",1.64192324358893,"V359","1","RF","1"
"V360",1.65678464767533,"V360","1","RF","1"
"V361",0.945565763720664,"V361","1","RF","1"
"V362",1.00123668330745,"V362","1","RF","1"
"V363",1.54809537361098,"V363","1","RF","1"
"V364",2.22036176122355,"V364","1","RF","1"
"V365",1.54412809666897,"V365","1","RF","1"
"V366",1.24480111333947,"V366","1","RF","1"
"V367",1.10023790596877,"V367","1","RF","1"
"V368",1.75366682835078,"V368","1","RF","1"
"V369",2.16827322752769,"V369","1","RF","1"
"V370",1.97901036482238,"V370","1","RF","1"
"V371",1.62152206588951,"V371","1","RF","1"
"V372",1.4747629350367,"V372","1","RF","1"
"V373",3.54558006365318,"V373","1","RF","1"
"V374",2.71443661124486,"V374","1","RF","1"
"V375",1.26650785231397,"V375","1","RF","1"
"V376",1.94490783677997,"V376","1","RF","1"
"V377",0.880089316262927,"V377","1","RF","1"
"V378",0.911637237049553,"V378","1","RF","1"
"V379",0.923456997201272,"V379","1","RF","1"
"V380",1.14808025719177,"V380","1","RF","1"
"V381",1.61554102841669,"V381","1","RF","1"
"V382",1.50069560099517,"V382","1","RF","1"
"V383",1.28909377501628,"V383","1","RF","1"
"V384",1.71828146853352,"V384","1","RF","1"
"V385",1.35521219578694,"V385","1","RF","1"
"V386",4.02423261079785,"V386","1","RF","1"
"V387",2.44630587042855,"V387","1","RF","1"
"V388",3.21594174078403,"V388","1","RF","1"
"V389",2.43449422416894,"V389","1","RF","1"
"V390",2.9673543648983,"V390","1","RF","1"
"V391",2.20964197012314,"V391","1","RF","1"
"V392",2.67871308527064,"V392","1","RF","1"
"V393",2.39952064586945,"V393","1","RF","1"
"V394",0.998752789852341,"V394","1","RF","1"
"V395",2.25447041339035,"V395","1","RF","1"
"V396",2.8522683827484,"V396","1","RF","1"
"V397",2.48806239686436,"V397","1","RF","1"
"V398",1.99431394404167,"V398","1","RF","1"
"V399",2.08617210118317,"V399","1","RF","1"
"V400",3.61954050485693,"V400","1","RF","1"
"V401",4.36905653443568,"V401","1","RF","1"
"V402",9.36226840481127,"V402","1","RF","1"
"V403",3.2598364299393,"V403","1","RF","1"
"V404",2.39633532857078,"V404","1","RF","1"
"V405",1.99487192067672,"V405","1","RF","1"
"V406",3.25689172741573,"V406","1","RF","1"
"V407",7.38622260443354,"V407","1","RF","1"
"V408",2.66705290519509,"V408","1","RF","1"
"V409",5.70525775218079,"V409","1","RF","1"
"V410",2.56400026144187,"V410","1","RF","1"
"V411",3.95007146472416,"V411","1","RF","1"
"V412",2.35337659718083,"V412","1","RF","1"
"V413",1.84033686399444,"V413","1","RF","1"
"V414",2.04113904581343,"V414","1","RF","1"
"V415",1.87528755699721,"V415","1","RF","1"
"V416",1.62642232922841,"V416","1","RF","1"
"V417",2.17191086589146,"V417","1","RF","1"
"V418",2.26294897743784,"V418","1","RF","1"
"V419",1.80406180129064,"V419","1","RF","1"
"V420",3.23998062511622,"V420","1","RF","1"
"V421",2.00355872794259,"V421","1","RF","1"
"V422",2.84163646240146,"V422","1","RF","1"
"V423",2.57457988037189,"V423","1","RF","1"
"V424",3.88054262801839,"V424","1","RF","1"
"V425",3.49360995518638,"V425","1","RF","1"
"V426",3.49079024593728,"V426","1","RF","1"
"V427",1.78103304422398,"V427","1","RF","1"
"V428",2.87565613417559,"V428","1","RF","1"
"V429",1.77754725105,"V429","1","RF","1"
"V430",2.84454787207986,"V430","1","RF","1"
"V431",2.42485758281753,"V431","1","RF","1"
"V432",1.40507450216936,"V432","1","RF","1"
"V433",2.08159431931909,"V433","1","RF","1"
"V434",4.13678774775941,"V434","1","RF","1"
"V435",1.91315964820353,"V435","1","RF","1"
"V436",1.3121109790209,"V436","1","RF","1"
"V437",0.620065982831668,"V437","1","RF","1"
"V438",1.60838017325731,"V438","1","RF","1"
"V439",2.59408211714314,"V439","1","RF","1"
"V440",1.34156863038216,"V440","1","RF","1"
"V441",0.950544876519945,"V441","1","RF","1"
"V442",1.98461402742591,"V442","1","RF","1"
"V443",3.13177001058276,"V443","1","RF","1"
"V444",2.99159466286746,"V444","1","RF","1"
"V445",2.222986609146,"V445","1","RF","1"
"V446",4.91023297580878,"V446","1","RF","1"
"V447",2.65817794471357,"V447","1","RF","1"
"V448",3.21409357754977,"V448","1","RF","1"
"V449",2.16758845815128,"V449","1","RF","1"
"V450",2.66314118947505,"V450","1","RF","1"
"V451",1.68476157589932,"V451","1","RF","1"
"V452",1.15372739156344,"V452","1","RF","1"
"V453",1.89837591800945,"V453","1","RF","1"
"V454",0.811986457374245,"V454","1","RF","1"
"V455",1.57093523494058,"V455","1","RF","1"
"V456",1.87326325785512,"V456","1","RF","1"
"V457",2.4577830166615,"V457","1","RF","1"
"V458",1.02398010755842,"V458","1","RF","1"
"V459",2.03395967730283,"V459","1","RF","1"
"V460",3.53688469317679,"V460","1","RF","1"
"V461",2.51685966110699,"V461","1","RF","1"
"V462",2.89898197445728,"V462","1","RF","1"
"V463",5.26216207858216,"V463","1","RF","1"
"V464",2.28168987112309,"V464","1","RF","1"
"V465",2.94687641108792,"V465","1","RF","1"
"V466",0.966032184832144,"V466","1","RF","1"
"V467",1.57773001334941,"V467","1","RF","1"
"V468",1.40673707127625,"V468","1","RF","1"
"V469",2.63337444860315,"V469","1","RF","1"
"V470",3.08105289359293,"V470","1","RF","1"
"V471",1.86691324786914,"V471","1","RF","1"
"V472",1.4735735900371,"V472","1","RF","1"
"V473",2.86939951992304,"V473","1","RF","1"
"V474",1.30548065184808,"V474","1","RF","1"
"V475",3.30890244269307,"V475","1","RF","1"
"V476",1.39403529508156,"V476","1","RF","1"
"V477",2.45964799369494,"V477","1","RF","1"
"V478",0.759992193078031,"V478","1","RF","1"
"V479",3.15344695850807,"V479","1","RF","1"
"V480",2.86192339096031,"V480","1","RF","1"
"V481",2.09548724204639,"V481","1","RF","1"
"V482",2.49573303473968,"V482","1","RF","1"
"V483",4.77912852595009,"V483","1","RF","1"
"V484",2.1869256797893,"V484","1","RF","1"
"V485",2.00823837097051,"V485","1","RF","1"
"V486",2.97304351633054,"V486","1","RF","1"
"V487",0.921862054876847,"V487","1","RF","1"
"V488",1.70606482463872,"V488","1","RF","1"
"V489",1.88148959859723,"V489","1","RF","1"
"V490",3.29325937949712,"V490","1","RF","1"
"V491",1.40065694107073,"V491","1","RF","1"
"V492",1.27624640564055,"V492","1","RF","1"
"V493",1.63055690480253,"V493","1","RF","1"
"V494",3.87754795550312,"V494","1","RF","1"
"V495",2.32374209268462,"V495","1","RF","1"
"V496",1.34688765777205,"V496","1","RF","1"
"V497",1.25924658372654,"V497","1","RF","1"
"V498",2.20218580300043,"V498","1","RF","1"
"V499",0.75672349203006,"V499","1","RF","1"
"V500",1.7215145236508,"V500","1","RF","1"
"V501",2.22132916050761,"V501","1","RF","1"
"V502",3.82791742148295,"V502","1","RF","1"
"V503",3.09003974041884,"V503","1","RF","1"
"V504",1.65128007913507,"V504","1","RF","1"
"V505",3.21903989773067,"V505","1","RF","1"
"V506",1.80611253984205,"V506","1","RF","1"
"V507",1.80120528173744,"V507","1","RF","1"
"V508",1.76190510875287,"V508","1","RF","1"
"V509",2.26467290053337,"V509","1","RF","1"
"V510",1.90484680299938,"V510","1","RF","1"
"V511",1.53956862663674,"V511","1","RF","1"
"V512",0.900035841416791,"V512","1","RF","1"
"V513",0.862122451598531,"V513","1","RF","1"
"V514",1.19548068070094,"V514","1","RF","1"
"V515",2.70531730314468,"V515","1","RF","1"
"V516",2.13141196170979,"V516","1","RF","1"
"V517",2.25826661179227,"V517","1","RF","1"
"V518",2.60983530086716,"V518","1","RF","1"
"V519",2.02180231367494,"V519","1","RF","1"
"V520",2.30436914751164,"V520","1","RF","1"
"V521",2.45133532907648,"V521","1","RF","1"
"V522",2.62981145807361,"V522","1","RF","1"
"V523",4.23704220812061,"V523","1","RF","1"
"V524",1.41715218460171,"V524","1","RF","1"
"V525",1.29679611665503,"V525","1","RF","1"
"V526",3.55176096199567,"V526","1","RF","1"
"V527",1.12869155371159,"V527","1","RF","1"
"V528",1.76522007195817,"V528","1","RF","1"
"V529",2.39965036995498,"V529","1","RF","1"
"V530",1.22494276703023,"V530","1","RF","1"
"V531",3.00550595141654,"V531","1","RF","1"
"V532",0.835281721860333,"V532","1","RF","1"
"V533",1.19776443636991,"V533","1","RF","1"
"V534",1.26860552345096,"V534","1","RF","1"
"V535",1.45748712634012,"V535","1","RF","1"
"V536",1.64573399836927,"V536","1","RF","1"
"V537",3.49487235741505,"V537","1","RF","1"
"V538",1.52469506277933,"V538","1","RF","1"
"V539",1.54486519561695,"V539","1","RF","1"
"V540",0.960599710542356,"V540","1","RF","1"
"V541",1.94371769060216,"V541","1","RF","1"
"V542",1.68218309080836,"V542","1","RF","1"
"V543",1.11471366635413,"V543","1","RF","1"
"V544",2.09700944352155,"V544","1","RF","1"
"V545",2.24945002362553,"V545","1","RF","1"
"V546",1.93712571513743,"V546","1","RF","1"
"V547",2.48079139193533,"V547","1","RF","1"
"V548",3.60820907196063,"V548","1","RF","1"
"V549",2.19932196079817,"V549","1","RF","1"
"V550",2.39162342100998,"V550","1","RF","1"
"V551",2.28006257783501,"V551","1","RF","1"
"V552",1.71292309718096,"V552","1","RF","1"
"V553",2.46699048048555,"V553","1","RF","1"
"V554",2.1708558298822,"V554","1","RF","1"
"V555",2.582342945259,"V555","1","RF","1"
"V556",1.87505654299172,"V556","1","RF","1"
"V557",0.836713674765752,"V557","1","RF","1"
"V558",0.615361929707551,"V558","1","RF","1"
"V559",1.66474896910979,"V559","1","RF","1"
"V560",2.777668537199,"V560","1","RF","1"
"V561",1.3291295309583,"V561","1","RF","1"
"V562",1.08563132062117,"V562","1","RF","1"
"V563",1.82289244675537,"V563","1","RF","1"
"V564",1.47435236843506,"V564","1","RF","1"
"V565",1.63010049019129,"V565","1","RF","1"
"V566",1.63212471075568,"V566","1","RF","1"
"V567",3.54865680160313,"V567","1","RF","1"
"V568",1.92574588798472,"V568","1","RF","1"
"V569",2.09540829747464,"V569","1","RF","1"
"V570",3.02694577843313,"V570","1","RF","1"
"V571",1.60014653053528,"V571","1","RF","1"
"V572",0.791939892908387,"V572","1","RF","1"
"V573",0.930684965310932,"V573","1","RF","1"
"V574",1.3152109287385,"V574","1","RF","1"
"V575",1.16451405485302,"V575","1","RF","1"
"V576",1.48737038596604,"V576","1","RF","1"
"V577",1.35897549124885,"V577","1","RF","1"
"V578",1.37339745304535,"V578","1","RF","1"
"V579",1.51099519000029,"V579","1","RF","1"
"V580",0.876326091277687,"V580","1","RF","1"
"V581",1.85446458079853,"V581","1","RF","1"
"V582",0.940719889666448,"V582","1","RF","1"
