"","Overall","marker","n.fold","method","variable"
"V409",0.0912755426356417,"V409","1","DT","1"
"V446",0.187164666479649,"V446","1","DT","1"
"V447",0.187164666479649,"V447","1","DT","1"
"V448",0.18716466647964,"V448","1","DT","1"
"V449",0.18716466647964,"V449","1","DT","1"
"V452",0.144039151879767,"V452","1","DT","1"
"V494",0.08389265188824,"V494","1","DT","1"
"V501",0.0916128380388646,"V501","1","DT","1"
"V502",0.0916128380388684,"V502","1","DT","1"
"V503",0.0916128380388646,"V503","1","DT","1"
"V504",0.0916128380388646,"V504","1","DT","1"
"V600",0.0680495498256328,"V600","1","DT","1"
"V601",0.0716272509455346,"V601","1","DT","1"
"V602",0.0716272509455346,"V602","1","DT","1"
"V603",0.079147630164829,"V603","1","DT","1"
"V605",0.067361280094381,"V605","1","DT","1"
"V723",0.0468153530749347,"V723","1","DT","1"
"V724",0.0468153530749441,"V724","1","DT","1"
"V732",0.0472985561546474,"V732","1","DT","1"
"V733",0.0472985561546539,"V733","1","DT","1"
"V735",0.0466343903356906,"V735","1","DT","1"
"V9",0.118435551635712,"V9","1","DT","1"
"V940",0.0412552748943419,"V940","1","DT","1"
"V941",0.0471685682145316,"V941","1","DT","1"
"V942",0.0404927763073994,"V942","1","DT","1"
"V1",0,"V1","1","DT","1"
"V2",0,"V2","1","DT","1"
"V3",0,"V3","1","DT","1"
"V4",0,"V4","1","DT","1"
"V5",0,"V5","1","DT","1"
"V6",0,"V6","1","DT","1"
"V7",0,"V7","1","DT","1"
"V8",0,"V8","1","DT","1"
"V11",0,"V11","1","DT","1"
"V12",0,"V12","1","DT","1"
"V13",0,"V13","1","DT","1"
"V14",0,"V14","1","DT","1"
"V15",0,"V15","1","DT","1"
"V16",0,"V16","1","DT","1"
"V17",0,"V17","1","DT","1"
"V18",0,"V18","1","DT","1"
"V19",0,"V19","1","DT","1"
"V20",0,"V20","1","DT","1"
"V21",0,"V21","1","DT","1"
"V22",0,"V22","1","DT","1"
"V23",0,"V23","1","DT","1"
"V24",0,"V24","1","DT","1"
"V25",0,"V25","1","DT","1"
"V26",0,"V26","1","DT","1"
"V27",0,"V27","1","DT","1"
"V28",0,"V28","1","DT","1"
"V29",0,"V29","1","DT","1"
"V30",0,"V30","1","DT","1"
"V31",0,"V31","1","DT","1"
"V32",0,"V32","1","DT","1"
"V33",0,"V33","1","DT","1"
"V34",0,"V34","1","DT","1"
"V35",0,"V35","1","DT","1"
"V36",0,"V36","1","DT","1"
"V37",0,"V37","1","DT","1"
"V38",0,"V38","1","DT","1"
"V39",0,"V39","1","DT","1"
"V40",0,"V40","1","DT","1"
"V41",0,"V41","1","DT","1"
"V42",0,"V42","1","DT","1"
"V43",0,"V43","1","DT","1"
"V44",0,"V44","1","DT","1"
"V45",0,"V45","1","DT","1"
"V46",0,"V46","1","DT","1"
"V47",0,"V47","1","DT","1"
"V48",0,"V48","1","DT","1"
"V49",0,"V49","1","DT","1"
"V50",0,"V50","1","DT","1"
"V51",0,"V51","1","DT","1"
"V52",0,"V52","1","DT","1"
"V53",0,"V53","1","DT","1"
"V54",0,"V54","1","DT","1"
"V55",0,"V55","1","DT","1"
"V56",0,"V56","1","DT","1"
"V57",0,"V57","1","DT","1"
"V58",0,"V58","1","DT","1"
"V59",0,"V59","1","DT","1"
"V60",0,"V60","1","DT","1"
"V61",0,"V61","1","DT","1"
"V62",0,"V62","1","DT","1"
"V63",0,"V63","1","DT","1"
"V64",0,"V64","1","DT","1"
"V65",0,"V65","1","DT","1"
"V66",0,"V66","1","DT","1"
"V67",0,"V67","1","DT","1"
"V68",0,"V68","1","DT","1"
"V69",0,"V69","1","DT","1"
"V70",0,"V70","1","DT","1"
"V71",0,"V71","1","DT","1"
"V72",0,"V72","1","DT","1"
"V73",0,"V73","1","DT","1"
"V74",0,"V74","1","DT","1"
"V75",0,"V75","1","DT","1"
"V76",0,"V76","1","DT","1"
"V77",0,"V77","1","DT","1"
"V78",0,"V78","1","DT","1"
"V79",0,"V79","1","DT","1"
"V80",0,"V80","1","DT","1"
"V81",0,"V81","1","DT","1"
"V82",0,"V82","1","DT","1"
"V83",0,"V83","1","DT","1"
"V84",0,"V84","1","DT","1"
"V85",0,"V85","1","DT","1"
"V86",0,"V86","1","DT","1"
"V87",0,"V87","1","DT","1"
"V88",0,"V88","1","DT","1"
"V89",0,"V89","1","DT","1"
"V90",0,"V90","1","DT","1"
"V91",0,"V91","1","DT","1"
"V92",0,"V92","1","DT","1"
"V93",0,"V93","1","DT","1"
"V94",0,"V94","1","DT","1"
"V95",0,"V95","1","DT","1"
"V96",0,"V96","1","DT","1"
"V97",0,"V97","1","DT","1"
"V98",0,"V98","1","DT","1"
"V99",0,"V99","1","DT","1"
"V100",0,"V100","1","DT","1"
"V101",0,"V101","1","DT","1"
"V102",0,"V102","1","DT","1"
"V103",0,"V103","1","DT","1"
"V104",0,"V104","1","DT","1"
"V105",0,"V105","1","DT","1"
"V106",0,"V106","1","DT","1"
"V107",0,"V107","1","DT","1"
"V108",0,"V108","1","DT","1"
"V109",0,"V109","1","DT","1"
"V110",0,"V110","1","DT","1"
"V111",0,"V111","1","DT","1"
"V112",0,"V112","1","DT","1"
"V113",0,"V113","1","DT","1"
"V114",0,"V114","1","DT","1"
"V115",0,"V115","1","DT","1"
"V116",0,"V116","1","DT","1"
"V117",0,"V117","1","DT","1"
"V118",0,"V118","1","DT","1"
"V119",0,"V119","1","DT","1"
"V120",0,"V120","1","DT","1"
"V121",0,"V121","1","DT","1"
"V122",0,"V122","1","DT","1"
"V123",0,"V123","1","DT","1"
"V124",0,"V124","1","DT","1"
"V125",0,"V125","1","DT","1"
"V126",0,"V126","1","DT","1"
"V127",0,"V127","1","DT","1"
"V128",0,"V128","1","DT","1"
"V129",0,"V129","1","DT","1"
"V130",0,"V130","1","DT","1"
"V131",0,"V131","1","DT","1"
"V132",0,"V132","1","DT","1"
"V133",0,"V133","1","DT","1"
"V134",0,"V134","1","DT","1"
"V135",0,"V135","1","DT","1"
"V136",0,"V136","1","DT","1"
"V137",0,"V137","1","DT","1"
"V138",0,"V138","1","DT","1"
"V139",0,"V139","1","DT","1"
"V140",0,"V140","1","DT","1"
"V141",0,"V141","1","DT","1"
"V142",0,"V142","1","DT","1"
"V143",0,"V143","1","DT","1"
"V144",0,"V144","1","DT","1"
"V145",0,"V145","1","DT","1"
"V146",0,"V146","1","DT","1"
"V147",0,"V147","1","DT","1"
"V148",0,"V148","1","DT","1"
"V149",0,"V149","1","DT","1"
"V150",0,"V150","1","DT","1"
"V151",0,"V151","1","DT","1"
"V152",0,"V152","1","DT","1"
"V153",0,"V153","1","DT","1"
"V154",0,"V154","1","DT","1"
"V155",0,"V155","1","DT","1"
"V156",0,"V156","1","DT","1"
"V157",0,"V157","1","DT","1"
"V158",0,"V158","1","DT","1"
"V159",0,"V159","1","DT","1"
"V160",0,"V160","1","DT","1"
"V161",0,"V161","1","DT","1"
"V162",0,"V162","1","DT","1"
"V163",0,"V163","1","DT","1"
"V164",0,"V164","1","DT","1"
"V165",0,"V165","1","DT","1"
"V166",0,"V166","1","DT","1"
"V167",0,"V167","1","DT","1"
"V168",0,"V168","1","DT","1"
"V169",0,"V169","1","DT","1"
"V170",0,"V170","1","DT","1"
"V171",0,"V171","1","DT","1"
"V173",0,"V173","1","DT","1"
"V174",0,"V174","1","DT","1"
"V175",0,"V175","1","DT","1"
"V176",0,"V176","1","DT","1"
"V178",0,"V178","1","DT","1"
"V179",0,"V179","1","DT","1"
"V180",0,"V180","1","DT","1"
"V181",0,"V181","1","DT","1"
"V182",0,"V182","1","DT","1"
"V183",0,"V183","1","DT","1"
"V184",0,"V184","1","DT","1"
"V185",0,"V185","1","DT","1"
"V186",0,"V186","1","DT","1"
"V187",0,"V187","1","DT","1"
"V188",0,"V188","1","DT","1"
"V189",0,"V189","1","DT","1"
"V190",0,"V190","1","DT","1"
"V191",0,"V191","1","DT","1"
"V192",0,"V192","1","DT","1"
"V193",0,"V193","1","DT","1"
"V194",0,"V194","1","DT","1"
"V195",0,"V195","1","DT","1"
"V196",0,"V196","1","DT","1"
"V197",0,"V197","1","DT","1"
"V198",0,"V198","1","DT","1"
"V199",0,"V199","1","DT","1"
"V200",0,"V200","1","DT","1"
"V201",0,"V201","1","DT","1"
"V202",0,"V202","1","DT","1"
"V203",0,"V203","1","DT","1"
"V204",0,"V204","1","DT","1"
"V205",0,"V205","1","DT","1"
"V206",0,"V206","1","DT","1"
"V207",0,"V207","1","DT","1"
"V208",0,"V208","1","DT","1"
"V209",0,"V209","1","DT","1"
"V210",0,"V210","1","DT","1"
"V211",0,"V211","1","DT","1"
"V212",0,"V212","1","DT","1"
"V213",0,"V213","1","DT","1"
"V214",0,"V214","1","DT","1"
"V215",0,"V215","1","DT","1"
"V216",0,"V216","1","DT","1"
"V217",0,"V217","1","DT","1"
"V218",0,"V218","1","DT","1"
"V219",0,"V219","1","DT","1"
"V220",0,"V220","1","DT","1"
"V221",0,"V221","1","DT","1"
"V222",0,"V222","1","DT","1"
"V223",0,"V223","1","DT","1"
"V224",0,"V224","1","DT","1"
"V225",0,"V225","1","DT","1"
"V226",0,"V226","1","DT","1"
"V227",0,"V227","1","DT","1"
"V228",0,"V228","1","DT","1"
"V229",0,"V229","1","DT","1"
"V230",0,"V230","1","DT","1"
"V231",0,"V231","1","DT","1"
"V232",0,"V232","1","DT","1"
"V233",0,"V233","1","DT","1"
"V234",0,"V234","1","DT","1"
"V235",0,"V235","1","DT","1"
"V236",0,"V236","1","DT","1"
"V237",0,"V237","1","DT","1"
"V238",0,"V238","1","DT","1"
"V239",0,"V239","1","DT","1"
"V240",0,"V240","1","DT","1"
"V241",0,"V241","1","DT","1"
"V242",0,"V242","1","DT","1"
"V243",0,"V243","1","DT","1"
"V244",0,"V244","1","DT","1"
"V245",0,"V245","1","DT","1"
"V246",0,"V246","1","DT","1"
"V247",0,"V247","1","DT","1"
"V248",0,"V248","1","DT","1"
"V249",0,"V249","1","DT","1"
"V250",0,"V250","1","DT","1"
"V251",0,"V251","1","DT","1"
"V252",0,"V252","1","DT","1"
"V253",0,"V253","1","DT","1"
"V254",0,"V254","1","DT","1"
"V255",0,"V255","1","DT","1"
"V256",0,"V256","1","DT","1"
"V257",0,"V257","1","DT","1"
"V258",0,"V258","1","DT","1"
"V259",0,"V259","1","DT","1"
"V260",0,"V260","1","DT","1"
"V261",0,"V261","1","DT","1"
"V262",0,"V262","1","DT","1"
"V263",0,"V263","1","DT","1"
"V264",0,"V264","1","DT","1"
"V265",0,"V265","1","DT","1"
"V266",0,"V266","1","DT","1"
"V267",0,"V267","1","DT","1"
"V268",0,"V268","1","DT","1"
"V269",0,"V269","1","DT","1"
"V270",0,"V270","1","DT","1"
"V271",0,"V271","1","DT","1"
"V272",0,"V272","1","DT","1"
"V273",0,"V273","1","DT","1"
"V274",0,"V274","1","DT","1"
"V275",0,"V275","1","DT","1"
"V276",0,"V276","1","DT","1"
"V277",0,"V277","1","DT","1"
"V278",0,"V278","1","DT","1"
"V279",0,"V279","1","DT","1"
"V280",0,"V280","1","DT","1"
"V281",0,"V281","1","DT","1"
"V282",0,"V282","1","DT","1"
"V283",0,"V283","1","DT","1"
"V284",0,"V284","1","DT","1"
"V285",0,"V285","1","DT","1"
"V286",0,"V286","1","DT","1"
"V287",0,"V287","1","DT","1"
"V288",0,"V288","1","DT","1"
"V289",0,"V289","1","DT","1"
"V290",0,"V290","1","DT","1"
"V291",0,"V291","1","DT","1"
"V292",0,"V292","1","DT","1"
"V293",0,"V293","1","DT","1"
"V294",0,"V294","1","DT","1"
"V295",0,"V295","1","DT","1"
"V296",0,"V296","1","DT","1"
"V298",0,"V298","1","DT","1"
"V299",0,"V299","1","DT","1"
"V300",0,"V300","1","DT","1"
"V301",0,"V301","1","DT","1"
"V302",0,"V302","1","DT","1"
"V303",0,"V303","1","DT","1"
"V304",0,"V304","1","DT","1"
"V305",0,"V305","1","DT","1"
"V306",0,"V306","1","DT","1"
"V307",0,"V307","1","DT","1"
"V308",0,"V308","1","DT","1"
"V309",0,"V309","1","DT","1"
"V310",0,"V310","1","DT","1"
"V311",0,"V311","1","DT","1"
"V312",0,"V312","1","DT","1"
"V313",0,"V313","1","DT","1"
"V314",0,"V314","1","DT","1"
"V315",0,"V315","1","DT","1"
"V316",0,"V316","1","DT","1"
"V317",0,"V317","1","DT","1"
"V318",0,"V318","1","DT","1"
"V319",0,"V319","1","DT","1"
"V320",0,"V320","1","DT","1"
"V321",0,"V321","1","DT","1"
"V322",0,"V322","1","DT","1"
"V323",0,"V323","1","DT","1"
"V324",0,"V324","1","DT","1"
"V325",0,"V325","1","DT","1"
"V326",0,"V326","1","DT","1"
"V327",0,"V327","1","DT","1"
"V328",0,"V328","1","DT","1"
"V329",0,"V329","1","DT","1"
"V330",0,"V330","1","DT","1"
"V331",0,"V331","1","DT","1"
"V332",0,"V332","1","DT","1"
"V333",0,"V333","1","DT","1"
"V334",0,"V334","1","DT","1"
"V335",0,"V335","1","DT","1"
"V336",0,"V336","1","DT","1"
"V337",0,"V337","1","DT","1"
"V338",0,"V338","1","DT","1"
"V339",0,"V339","1","DT","1"
"V340",0,"V340","1","DT","1"
"V341",0,"V341","1","DT","1"
"V342",0,"V342","1","DT","1"
"V343",0,"V343","1","DT","1"
"V344",0,"V344","1","DT","1"
"V345",0,"V345","1","DT","1"
"V346",0,"V346","1","DT","1"
"V347",0,"V347","1","DT","1"
"V348",0,"V348","1","DT","1"
"V349",0,"V349","1","DT","1"
"V350",0,"V350","1","DT","1"
"V351",0,"V351","1","DT","1"
"V352",0,"V352","1","DT","1"
"V353",0,"V353","1","DT","1"
"V354",0,"V354","1","DT","1"
"V355",0,"V355","1","DT","1"
"V356",0,"V356","1","DT","1"
"V357",0,"V357","1","DT","1"
"V358",0,"V358","1","DT","1"
"V359",0,"V359","1","DT","1"
"V360",0,"V360","1","DT","1"
"V361",0,"V361","1","DT","1"
"V362",0,"V362","1","DT","1"
"V363",0,"V363","1","DT","1"
"V364",0,"V364","1","DT","1"
"V365",0,"V365","1","DT","1"
"V366",0,"V366","1","DT","1"
"V367",0,"V367","1","DT","1"
"V368",0,"V368","1","DT","1"
"V369",0,"V369","1","DT","1"
"V370",0,"V370","1","DT","1"
"V371",0,"V371","1","DT","1"
"V372",0,"V372","1","DT","1"
"V373",0,"V373","1","DT","1"
"V374",0,"V374","1","DT","1"
"V375",0,"V375","1","DT","1"
"V376",0,"V376","1","DT","1"
"V377",0,"V377","1","DT","1"
"V378",0,"V378","1","DT","1"
"V379",0,"V379","1","DT","1"
"V380",0,"V380","1","DT","1"
"V381",0,"V381","1","DT","1"
"V382",0,"V382","1","DT","1"
"V383",0,"V383","1","DT","1"
"V384",0,"V384","1","DT","1"
"V385",0,"V385","1","DT","1"
"V386",0,"V386","1","DT","1"
"V387",0,"V387","1","DT","1"
"V388",0,"V388","1","DT","1"
"V389",0,"V389","1","DT","1"
"V390",0,"V390","1","DT","1"
"V391",0,"V391","1","DT","1"
"V392",0,"V392","1","DT","1"
"V393",0,"V393","1","DT","1"
"V394",0,"V394","1","DT","1"
"V395",0,"V395","1","DT","1"
"V396",0,"V396","1","DT","1"
"V397",0,"V397","1","DT","1"
"V398",0,"V398","1","DT","1"
"V399",0,"V399","1","DT","1"
"V400",0,"V400","1","DT","1"
"V401",0,"V401","1","DT","1"
"V404",0,"V404","1","DT","1"
"V405",0,"V405","1","DT","1"
"V406",0,"V406","1","DT","1"
"V410",0,"V410","1","DT","1"
"V411",0,"V411","1","DT","1"
"V412",0,"V412","1","DT","1"
"V413",0,"V413","1","DT","1"
"V414",0,"V414","1","DT","1"
"V415",0,"V415","1","DT","1"
"V416",0,"V416","1","DT","1"
"V417",0,"V417","1","DT","1"
"V418",0,"V418","1","DT","1"
"V419",0,"V419","1","DT","1"
"V420",0,"V420","1","DT","1"
"V421",0,"V421","1","DT","1"
"V422",0,"V422","1","DT","1"
"V423",0,"V423","1","DT","1"
"V424",0,"V424","1","DT","1"
"V425",0,"V425","1","DT","1"
"V426",0,"V426","1","DT","1"
"V427",0,"V427","1","DT","1"
"V428",0,"V428","1","DT","1"
"V429",0,"V429","1","DT","1"
"V430",0,"V430","1","DT","1"
"V431",0,"V431","1","DT","1"
"V432",0,"V432","1","DT","1"
"V433",0,"V433","1","DT","1"
"V434",0,"V434","1","DT","1"
"V435",0,"V435","1","DT","1"
"V436",0,"V436","1","DT","1"
"V437",0,"V437","1","DT","1"
"V438",0,"V438","1","DT","1"
"V439",0,"V439","1","DT","1"
"V440",0,"V440","1","DT","1"
"V441",0,"V441","1","DT","1"
"V442",0,"V442","1","DT","1"
"V443",0,"V443","1","DT","1"
"V444",0,"V444","1","DT","1"
"V445",0,"V445","1","DT","1"
"V450",0,"V450","1","DT","1"
"V451",0,"V451","1","DT","1"
"V453",0,"V453","1","DT","1"
"V454",0,"V454","1","DT","1"
"V455",0,"V455","1","DT","1"
"V456",0,"V456","1","DT","1"
"V457",0,"V457","1","DT","1"
"V458",0,"V458","1","DT","1"
"V459",0,"V459","1","DT","1"
"V460",0,"V460","1","DT","1"
"V461",0,"V461","1","DT","1"
"V462",0,"V462","1","DT","1"
"V463",0,"V463","1","DT","1"
"V464",0,"V464","1","DT","1"
"V465",0,"V465","1","DT","1"
"V466",0,"V466","1","DT","1"
"V467",0,"V467","1","DT","1"
"V468",0,"V468","1","DT","1"
"V469",0,"V469","1","DT","1"
"V470",0,"V470","1","DT","1"
"V471",0,"V471","1","DT","1"
"V472",0,"V472","1","DT","1"
"V473",0,"V473","1","DT","1"
"V474",0,"V474","1","DT","1"
"V475",0,"V475","1","DT","1"
"V476",0,"V476","1","DT","1"
"V477",0,"V477","1","DT","1"
"V478",0,"V478","1","DT","1"
"V479",0,"V479","1","DT","1"
"V480",0,"V480","1","DT","1"
"V481",0,"V481","1","DT","1"
"V482",0,"V482","1","DT","1"
"V483",0,"V483","1","DT","1"
"V484",0,"V484","1","DT","1"
"V485",0,"V485","1","DT","1"
"V486",0,"V486","1","DT","1"
"V487",0,"V487","1","DT","1"
"V488",0,"V488","1","DT","1"
"V489",0,"V489","1","DT","1"
"V490",0,"V490","1","DT","1"
"V491",0,"V491","1","DT","1"
"V492",0,"V492","1","DT","1"
"V493",0,"V493","1","DT","1"
"V495",0,"V495","1","DT","1"
"V496",0,"V496","1","DT","1"
"V497",0,"V497","1","DT","1"
"V498",0,"V498","1","DT","1"
"V499",0,"V499","1","DT","1"
"V500",0,"V500","1","DT","1"
"V505",0,"V505","1","DT","1"
"V506",0,"V506","1","DT","1"
"V507",0,"V507","1","DT","1"
"V508",0,"V508","1","DT","1"
"V509",0,"V509","1","DT","1"
"V510",0,"V510","1","DT","1"
"V511",0,"V511","1","DT","1"
"V512",0,"V512","1","DT","1"
"V513",0,"V513","1","DT","1"
"V514",0,"V514","1","DT","1"
"V515",0,"V515","1","DT","1"
"V516",0,"V516","1","DT","1"
"V517",0,"V517","1","DT","1"
"V518",0,"V518","1","DT","1"
"V519",0,"V519","1","DT","1"
"V520",0,"V520","1","DT","1"
"V521",0,"V521","1","DT","1"
"V522",0,"V522","1","DT","1"
"V523",0,"V523","1","DT","1"
"V524",0,"V524","1","DT","1"
"V525",0,"V525","1","DT","1"
"V526",0,"V526","1","DT","1"
"V527",0,"V527","1","DT","1"
"V528",0,"V528","1","DT","1"
"V529",0,"V529","1","DT","1"
"V530",0,"V530","1","DT","1"
"V531",0,"V531","1","DT","1"
"V532",0,"V532","1","DT","1"
"V533",0,"V533","1","DT","1"
"V534",0,"V534","1","DT","1"
"V535",0,"V535","1","DT","1"
"V536",0,"V536","1","DT","1"
"V537",0,"V537","1","DT","1"
"V538",0,"V538","1","DT","1"
"V539",0,"V539","1","DT","1"
"V540",0,"V540","1","DT","1"
"V541",0,"V541","1","DT","1"
"V542",0,"V542","1","DT","1"
"V543",0,"V543","1","DT","1"
"V544",0,"V544","1","DT","1"
"V545",0,"V545","1","DT","1"
"V546",0,"V546","1","DT","1"
"V547",0,"V547","1","DT","1"
"V548",0,"V548","1","DT","1"
"V549",0,"V549","1","DT","1"
"V550",0,"V550","1","DT","1"
"V551",0,"V551","1","DT","1"
"V552",0,"V552","1","DT","1"
"V553",0,"V553","1","DT","1"
"V554",0,"V554","1","DT","1"
"V555",0,"V555","1","DT","1"
"V556",0,"V556","1","DT","1"
"V557",0,"V557","1","DT","1"
"V558",0,"V558","1","DT","1"
"V559",0,"V559","1","DT","1"
"V560",0,"V560","1","DT","1"
"V561",0,"V561","1","DT","1"
"V562",0,"V562","1","DT","1"
"V563",0,"V563","1","DT","1"
"V564",0,"V564","1","DT","1"
"V565",0,"V565","1","DT","1"
"V566",0,"V566","1","DT","1"
"V567",0,"V567","1","DT","1"
"V568",0,"V568","1","DT","1"
"V569",0,"V569","1","DT","1"
"V570",0,"V570","1","DT","1"
"V571",0,"V571","1","DT","1"
"V572",0,"V572","1","DT","1"
"V573",0,"V573","1","DT","1"
"V574",0,"V574","1","DT","1"
"V575",0,"V575","1","DT","1"
"V576",0,"V576","1","DT","1"
"V577",0,"V577","1","DT","1"
"V578",0,"V578","1","DT","1"
"V579",0,"V579","1","DT","1"
"V580",0,"V580","1","DT","1"
"V581",0,"V581","1","DT","1"
"V582",0,"V582","1","DT","1"
"V583",0,"V583","1","DT","1"
"V584",0,"V584","1","DT","1"
"V585",0,"V585","1","DT","1"
"V586",0,"V586","1","DT","1"
"V587",0,"V587","1","DT","1"
"V588",0,"V588","1","DT","1"
"V589",0,"V589","1","DT","1"
"V590",0,"V590","1","DT","1"
"V591",0,"V591","1","DT","1"
"V592",0,"V592","1","DT","1"
"V593",0,"V593","1","DT","1"
"V594",0,"V594","1","DT","1"
"V595",0,"V595","1","DT","1"
"V596",0,"V596","1","DT","1"
"V597",0,"V597","1","DT","1"
"V598",0,"V598","1","DT","1"
"V599",0,"V599","1","DT","1"
"V604",0,"V604","1","DT","1"
"V606",0,"V606","1","DT","1"
"V607",0,"V607","1","DT","1"
"V608",0,"V608","1","DT","1"
"V609",0,"V609","1","DT","1"
"V610",0,"V610","1","DT","1"
"V611",0,"V611","1","DT","1"
"V612",0,"V612","1","DT","1"
"V613",0,"V613","1","DT","1"
"V614",0,"V614","1","DT","1"
"V615",0,"V615","1","DT","1"
"V616",0,"V616","1","DT","1"
"V617",0,"V617","1","DT","1"
"V618",0,"V618","1","DT","1"
"V619",0,"V619","1","DT","1"
"V620",0,"V620","1","DT","1"
"V621",0,"V621","1","DT","1"
"V622",0,"V622","1","DT","1"
"V623",0,"V623","1","DT","1"
"V624",0,"V624","1","DT","1"
"V625",0,"V625","1","DT","1"
"V626",0,"V626","1","DT","1"
"V627",0,"V627","1","DT","1"
"V628",0,"V628","1","DT","1"
"V629",0,"V629","1","DT","1"
"V630",0,"V630","1","DT","1"
"V631",0,"V631","1","DT","1"
"V632",0,"V632","1","DT","1"
"V633",0,"V633","1","DT","1"
"V634",0,"V634","1","DT","1"
"V635",0,"V635","1","DT","1"
"V636",0,"V636","1","DT","1"
"V637",0,"V637","1","DT","1"
"V638",0,"V638","1","DT","1"
"V639",0,"V639","1","DT","1"
"V640",0,"V640","1","DT","1"
"V641",0,"V641","1","DT","1"
"V642",0,"V642","1","DT","1"
"V643",0,"V643","1","DT","1"
"V644",0,"V644","1","DT","1"
"V645",0,"V645","1","DT","1"
"V646",0,"V646","1","DT","1"
"V647",0,"V647","1","DT","1"
"V648",0,"V648","1","DT","1"
"V649",0,"V649","1","DT","1"
"V650",0,"V650","1","DT","1"
"V651",0,"V651","1","DT","1"
"V652",0,"V652","1","DT","1"
"V653",0,"V653","1","DT","1"
"V654",0,"V654","1","DT","1"
"V655",0,"V655","1","DT","1"
"V656",0,"V656","1","DT","1"
"V657",0,"V657","1","DT","1"
"V658",0,"V658","1","DT","1"
"V659",0,"V659","1","DT","1"
"V660",0,"V660","1","DT","1"
"V661",0,"V661","1","DT","1"
"V662",0,"V662","1","DT","1"
"V663",0,"V663","1","DT","1"
"V664",0,"V664","1","DT","1"
"V665",0,"V665","1","DT","1"
"V666",0,"V666","1","DT","1"
"V667",0,"V667","1","DT","1"
"V668",0,"V668","1","DT","1"
"V669",0,"V669","1","DT","1"
