"","Overall","marker","n.fold","method","variable"
"V116",1.66455007013931,"V116","1","BAG","1"
"V117",2.67894183392448,"V117","1","BAG","1"
"V118",2.52363624741433,"V118","1","BAG","1"
"V119",2.26972280017372,"V119","1","BAG","1"
"V120",2.78230464903014,"V120","1","BAG","1"
"V121",0.744862143102901,"V121","1","BAG","1"
"V122",1.2644439938721,"V122","1","BAG","1"
"V123",3.21963499026327,"V123","1","BAG","1"
"V124",1.56303599594785,"V124","1","BAG","1"
"V125",0.975266136863226,"V125","1","BAG","1"
"V126",1.29635977475158,"V126","1","BAG","1"
"V127",1.58722395959679,"V127","1","BAG","1"
"V128",1.88884821663089,"V128","1","BAG","1"
"V129",1.22589888493936,"V129","1","BAG","1"
"V130",1.51744265664258,"V130","1","BAG","1"
"V131",1.91824220091245,"V131","1","BAG","1"
"V132",4.00256273237879,"V132","1","BAG","1"
"V133",1.61929376132099,"V133","1","BAG","1"
"V134",1.66305350251938,"V134","1","BAG","1"
"V135",1.53734221603661,"V135","1","BAG","1"
"V136",1.76224150815734,"V136","1","BAG","1"
"V137",1.71450943915744,"V137","1","BAG","1"
"V138",2.129771502713,"V138","1","BAG","1"
"V139",1.34989463687181,"V139","1","BAG","1"
"V140",1.71538097791368,"V140","1","BAG","1"
"V141",1.90174891968212,"V141","1","BAG","1"
"V142",1.09126555324993,"V142","1","BAG","1"
"V143",1.31709954427893,"V143","1","BAG","1"
"V144",2.09982002033332,"V144","1","BAG","1"
"V145",1.21110444415386,"V145","1","BAG","1"
"V146",0.883565419911614,"V146","1","BAG","1"
"V147",2.06603072723691,"V147","1","BAG","1"
"V148",4.62135929030195,"V148","1","BAG","1"
"V149",1.08210299929687,"V149","1","BAG","1"
"V150",1.8317540422836,"V150","1","BAG","1"
"V151",0.845342583933488,"V151","1","BAG","1"
"V152",0.988698197467667,"V152","1","BAG","1"
"V153",0.810963184217312,"V153","1","BAG","1"
"V154",2.08164314434304,"V154","1","BAG","1"
"V155",1.32823848760847,"V155","1","BAG","1"
"V156",1.18119677531508,"V156","1","BAG","1"
"V157",1.45062528347153,"V157","1","BAG","1"
"V158",0.492447059616197,"V158","1","BAG","1"
"V159",0.425813877448258,"V159","1","BAG","1"
"V160",2.22440819763027,"V160","1","BAG","1"
"V161",1.37190675358255,"V161","1","BAG","1"
"V162",1.17505367104754,"V162","1","BAG","1"
"V163",1.06414992569356,"V163","1","BAG","1"
"V164",1.55565572375222,"V164","1","BAG","1"
"V165",3.35882580072436,"V165","1","BAG","1"
"V166",3.83927083934267,"V166","1","BAG","1"
"V167",2.42883684462381,"V167","1","BAG","1"
"V168",0.928909763611576,"V168","1","BAG","1"
"V169",3.02369570089435,"V169","1","BAG","1"
"V170",2.20368695924651,"V170","1","BAG","1"
"V171",1.68601643107086,"V171","1","BAG","1"
"V172",6.49547732878227,"V172","1","BAG","1"
"V173",3.40251655858535,"V173","1","BAG","1"
"V174",3.38522486688412,"V174","1","BAG","1"
"V175",5.72933932711649,"V175","1","BAG","1"
"V176",2.82613148243062,"V176","1","BAG","1"
"V177",2.57354955756481,"V177","1","BAG","1"
"V178",2.1836960106879,"V178","1","BAG","1"
"V179",3.11106302650426,"V179","1","BAG","1"
"V180",1.84231462538891,"V180","1","BAG","1"
"V181",1.54995083117549,"V181","1","BAG","1"
"V182",1.25045959879822,"V182","1","BAG","1"
"V183",0.919023898448278,"V183","1","BAG","1"
"V184",1.6507605952142,"V184","1","BAG","1"
"V185",1.82850833606053,"V185","1","BAG","1"
"V186",1.44836331949615,"V186","1","BAG","1"
"V187",1.26637933528301,"V187","1","BAG","1"
"V188",1.37937173910864,"V188","1","BAG","1"
"V189",0.960463021397598,"V189","1","BAG","1"
"V190",1.98267655777845,"V190","1","BAG","1"
"V191",2.32416183090376,"V191","1","BAG","1"
"V192",3.04343522206916,"V192","1","BAG","1"
"V193",1.71852066621061,"V193","1","BAG","1"
"V194",4.22162226455754,"V194","1","BAG","1"
"V195",1.18661035346675,"V195","1","BAG","1"
"V196",0.924066845068502,"V196","1","BAG","1"
"V197",3.79682011239578,"V197","1","BAG","1"
"V198",1.26023212586181,"V198","1","BAG","1"
"V199",3.48560751735971,"V199","1","BAG","1"
"V200",2.82938014388093,"V200","1","BAG","1"
"V201",2.03299968857671,"V201","1","BAG","1"
"V202",4.44128776105925,"V202","1","BAG","1"
"V203",2.96042622563616,"V203","1","BAG","1"
"V204",1.84821485251061,"V204","1","BAG","1"
"V205",1.37188538479751,"V205","1","BAG","1"
"V206",4.91638736446143,"V206","1","BAG","1"
"V207",11.2995011124578,"V207","1","BAG","1"
"V208",4.10451019909455,"V208","1","BAG","1"
"V209",4.75493484425067,"V209","1","BAG","1"
"V210",3.4896151616872,"V210","1","BAG","1"
"V211",5.86517631234718,"V211","1","BAG","1"
"V212",3.95688498904056,"V212","1","BAG","1"
"V213",2.43248617975736,"V213","1","BAG","1"
"V214",2.02906687587694,"V214","1","BAG","1"
"V215",1.52833436890647,"V215","1","BAG","1"
"V216",2.18876558731162,"V216","1","BAG","1"
"V217",3.57414642090614,"V217","1","BAG","1"
"V218",1.72330750008367,"V218","1","BAG","1"
"V219",1.82481219703853,"V219","1","BAG","1"
"V220",2.0878717042199,"V220","1","BAG","1"
"V221",1.11435656752753,"V221","1","BAG","1"
"V222",1.20202746013916,"V222","1","BAG","1"
"V223",1.91276332891162,"V223","1","BAG","1"
"V224",0.750867451391634,"V224","1","BAG","1"
"V225",1.18125497109965,"V225","1","BAG","1"
"V226",1.41636075043187,"V226","1","BAG","1"
"V227",0.759769776862718,"V227","1","BAG","1"
"V228",1.60882511997497,"V228","1","BAG","1"
"V229",1.36726795728627,"V229","1","BAG","1"
"V230",2.41767638422034,"V230","1","BAG","1"
"V231",1.78854523311038,"V231","1","BAG","1"
"V232",0.859498180403633,"V232","1","BAG","1"
"V233",2.12904949533886,"V233","1","BAG","1"
"V234",1.27526413556089,"V234","1","BAG","1"
"V235",1.80209721469374,"V235","1","BAG","1"
"V236",4.87732166454402,"V236","1","BAG","1"
"V237",1.55860433494002,"V237","1","BAG","1"
"V238",1.7134150271044,"V238","1","BAG","1"
"V239",1.61391162504657,"V239","1","BAG","1"
"V240",1.26838871543097,"V240","1","BAG","1"
"V241",0.60282158535227,"V241","1","BAG","1"
"V242",3.30854385711465,"V242","1","BAG","1"
"V243",1.68714312228201,"V243","1","BAG","1"
"V244",0.738113626713713,"V244","1","BAG","1"
"V245",1.21355053756353,"V245","1","BAG","1"
"V246",1.14238807620431,"V246","1","BAG","1"
"V247",0.668697560494588,"V247","1","BAG","1"
"V248",1.29131333467992,"V248","1","BAG","1"
"V249",1.97743756055462,"V249","1","BAG","1"
"V250",1.57586763151786,"V250","1","BAG","1"
"V251",1.19482898055966,"V251","1","BAG","1"
"V252",1.50859403614124,"V252","1","BAG","1"
"V253",1.45570583889902,"V253","1","BAG","1"
"V254",0.679473722882532,"V254","1","BAG","1"
"V255",1.28958053214709,"V255","1","BAG","1"
"V256",2.44732215611604,"V256","1","BAG","1"
"V257",2.03123073475879,"V257","1","BAG","1"
"V258",4.55693223550998,"V258","1","BAG","1"
"V259",1.55704183790634,"V259","1","BAG","1"
"V260",3.70562684248084,"V260","1","BAG","1"
"V261",2.80205168218175,"V261","1","BAG","1"
"V262",3.88127370700392,"V262","1","BAG","1"
"V263",1.56123116594318,"V263","1","BAG","1"
"V264",3.36118094553615,"V264","1","BAG","1"
"V265",3.67301023748706,"V265","1","BAG","1"
"V266",2.50511029809047,"V266","1","BAG","1"
"V267",7.96149108366973,"V267","1","BAG","1"
"V268",3.49832880309291,"V268","1","BAG","1"
"V269",3.63756706329072,"V269","1","BAG","1"
"V270",2.30009943161767,"V270","1","BAG","1"
"V271",5.47170017059959,"V271","1","BAG","1"
"V272",5.30481176831459,"V272","1","BAG","1"
"V273",2.76305230752118,"V273","1","BAG","1"
"V274",1.40133347228152,"V274","1","BAG","1"
"V275",1.93917351867159,"V275","1","BAG","1"
"V276",2.47520363829205,"V276","1","BAG","1"
"V277",5.9709172752544,"V277","1","BAG","1"
"V278",4.35212513836155,"V278","1","BAG","1"
"V279",2.62041912558609,"V279","1","BAG","1"
"V280",1.39219826905862,"V280","1","BAG","1"
"V281",1.23143877549417,"V281","1","BAG","1"
"V282",1.70012040860174,"V282","1","BAG","1"
"V283",0.764963885905007,"V283","1","BAG","1"
"V284",1.44831773323621,"V284","1","BAG","1"
"V285",1.95580535840232,"V285","1","BAG","1"
"V286",1.90626959966477,"V286","1","BAG","1"
"V287",3.19609006431609,"V287","1","BAG","1"
"V288",1.48175997270273,"V288","1","BAG","1"
"V289",1.99148034549545,"V289","1","BAG","1"
"V290",0.887999816549169,"V290","1","BAG","1"
"V291",2.46561550179679,"V291","1","BAG","1"
"V292",0.646474690842483,"V292","1","BAG","1"
"V293",1.17317105438426,"V293","1","BAG","1"
"V294",1.84642958366578,"V294","1","BAG","1"
"V295",4.13323988219522,"V295","1","BAG","1"
"V296",2.1245226598515,"V296","1","BAG","1"
"V297",1.87773589321198,"V297","1","BAG","1"
"V298",3.29009935934381,"V298","1","BAG","1"
"V299",6.07842651931245,"V299","1","BAG","1"
"V300",3.87559375594019,"V300","1","BAG","1"
"V301",3.73765785650584,"V301","1","BAG","1"
"V302",2.14131687673556,"V302","1","BAG","1"
"V303",3.09161087232526,"V303","1","BAG","1"
"V304",0.444954252806604,"V304","1","BAG","1"
"V305",1.40363577269631,"V305","1","BAG","1"
"V306",4.18190584384682,"V306","1","BAG","1"
"V307",3.98080856609139,"V307","1","BAG","1"
"V308",2.55159344585017,"V308","1","BAG","1"
"V309",3.95130156278259,"V309","1","BAG","1"
"V310",10.5324161778097,"V310","1","BAG","1"
"V311",4.52070857392707,"V311","1","BAG","1"
"V312",7.12061545779204,"V312","1","BAG","1"
"V313",3.53474277581348,"V313","1","BAG","1"
"V314",3.0052864154123,"V314","1","BAG","1"
"V315",2.1497048051549,"V315","1","BAG","1"
"V316",4.0930633540548,"V316","1","BAG","1"
"V317",2.60233552465224,"V317","1","BAG","1"
"V318",2.32208073599637,"V318","1","BAG","1"
"V319",2.30188961383175,"V319","1","BAG","1"
"V320",2.10378826920006,"V320","1","BAG","1"
"V321",0.920237750080211,"V321","1","BAG","1"
"V322",1.10795144704122,"V322","1","BAG","1"
"V323",1.63059393061182,"V323","1","BAG","1"
"V324",2.26081145460778,"V324","1","BAG","1"
"V325",0.905367538376989,"V325","1","BAG","1"
"V326",2.16264125249724,"V326","1","BAG","1"
"V327",2.27219308413345,"V327","1","BAG","1"
"V328",1.53695509104955,"V328","1","BAG","1"
"V329",2.28745373531112,"V329","1","BAG","1"
"V330",2.18533485015795,"V330","1","BAG","1"
"V331",0.674711971872602,"V331","1","BAG","1"
"V332",1.27336416364894,"V332","1","BAG","1"
"V333",2.8396818314588,"V333","1","BAG","1"
"V334",2.85187010178294,"V334","1","BAG","1"
"V335",2.33936104649287,"V335","1","BAG","1"
"V336",1.96164792252081,"V336","1","BAG","1"
"V337",1.68348492863252,"V337","1","BAG","1"
"V338",2.82160466848011,"V338","1","BAG","1"
"V339",0.973925942335852,"V339","1","BAG","1"
"V340",1.6102507440141,"V340","1","BAG","1"
"V341",1.20159200110215,"V341","1","BAG","1"
"V342",0.829238797982545,"V342","1","BAG","1"
"V343",2.33953579195186,"V343","1","BAG","1"
"V344",0.637726266093603,"V344","1","BAG","1"
"V345",1.40141597913559,"V345","1","BAG","1"
"V346",1.33395676731469,"V346","1","BAG","1"
"V347",1.19750923115675,"V347","1","BAG","1"
"V348",3.03968757769252,"V348","1","BAG","1"
"V349",1.77283883203662,"V349","1","BAG","1"
"V350",3.26077221478227,"V350","1","BAG","1"
"V351",1.80014551302616,"V351","1","BAG","1"
"V352",1.00124552046981,"V352","1","BAG","1"
"V353",1.20964358716588,"V353","1","BAG","1"
"V354",1.62719700291511,"V354","1","BAG","1"
"V355",1.90389009820478,"V355","1","BAG","1"
"V356",1.8162685184441,"V356","1","BAG","1"
"V357",1.22383398102519,"V357","1","BAG","1"
"V358",1.79287573126612,"V358","1","BAG","1"
"V359",2.41454346345971,"V359","1","BAG","1"
"V360",1.4450426310963,"V360","1","BAG","1"
"V361",1.89485410981499,"V361","1","BAG","1"
"V362",3.48738394189716,"V362","1","BAG","1"
"V363",1.57961745032975,"V363","1","BAG","1"
"V364",1.330023984685,"V364","1","BAG","1"
"V365",0.853280418757028,"V365","1","BAG","1"
"V366",2.78777574082673,"V366","1","BAG","1"
"V367",2.06516114965083,"V367","1","BAG","1"
"V368",2.18256287021835,"V368","1","BAG","1"
"V369",1.82177033439817,"V369","1","BAG","1"
"V370",2.00426913968578,"V370","1","BAG","1"
"V371",1.64751459250887,"V371","1","BAG","1"
"V372",2.21884064223373,"V372","1","BAG","1"
"V373",4.58598274962967,"V373","1","BAG","1"
"V374",1.57358140817717,"V374","1","BAG","1"
"V375",1.84830240772392,"V375","1","BAG","1"
"V376",2.96844414586068,"V376","1","BAG","1"
"V377",2.7118338337736,"V377","1","BAG","1"
"V378",1.09715488384874,"V378","1","BAG","1"
"V379",1.53203042007336,"V379","1","BAG","1"
"V380",1.6184552910672,"V380","1","BAG","1"
"V381",1.4057601187905,"V381","1","BAG","1"
"V382",1.03160414935015,"V382","1","BAG","1"
"V383",0.88912985778232,"V383","1","BAG","1"
"V384",1.14723864881492,"V384","1","BAG","1"
"V385",1.38318507479904,"V385","1","BAG","1"
"V386",2.10693241961629,"V386","1","BAG","1"
"V387",2.16551412242597,"V387","1","BAG","1"
"V388",1.1775727636563,"V388","1","BAG","1"
"V389",3.42060572946095,"V389","1","BAG","1"
"V390",2.81398134119221,"V390","1","BAG","1"
"V391",2.24125130555047,"V391","1","BAG","1"
"V392",2.46610450250426,"V392","1","BAG","1"
"V393",1.34440266304851,"V393","1","BAG","1"
"V394",1.75055565297861,"V394","1","BAG","1"
"V395",2.40359274374206,"V395","1","BAG","1"
"V396",1.99431873612648,"V396","1","BAG","1"
"V397",2.58163808202394,"V397","1","BAG","1"
"V398",3.04281053664513,"V398","1","BAG","1"
"V399",3.63830013365244,"V399","1","BAG","1"
"V400",6.22085566405699,"V400","1","BAG","1"
"V401",4.32983592749991,"V401","1","BAG","1"
"V402",12.5656581600641,"V402","1","BAG","1"
"V403",2.10188717816678,"V403","1","BAG","1"
"V404",2.05630882796995,"V404","1","BAG","1"
"V405",2.56744824479789,"V405","1","BAG","1"
"V406",2.38563005360785,"V406","1","BAG","1"
"V407",6.80810761373534,"V407","1","BAG","1"
"V408",5.6140038798028,"V408","1","BAG","1"
"V409",1.94928904891704,"V409","1","BAG","1"
"V410",3.91990984979189,"V410","1","BAG","1"
"V411",3.20148629222473,"V411","1","BAG","1"
"V412",2.84541510042519,"V412","1","BAG","1"
"V413",2.13827357330815,"V413","1","BAG","1"
"V414",2.29663378654062,"V414","1","BAG","1"
"V415",1.49739778621969,"V415","1","BAG","1"
"V416",1.4383751215679,"V416","1","BAG","1"
"V417",1.68814182830434,"V417","1","BAG","1"
"V418",2.01795554391376,"V418","1","BAG","1"
"V419",1.65900275863083,"V419","1","BAG","1"
"V420",2.80964225173068,"V420","1","BAG","1"
"V421",1.94268283879253,"V421","1","BAG","1"
"V422",2.23835245843384,"V422","1","BAG","1"
"V423",4.12226214165977,"V423","1","BAG","1"
"V424",4.02239803319085,"V424","1","BAG","1"
"V425",3.93187358026627,"V425","1","BAG","1"
"V426",3.30081588483901,"V426","1","BAG","1"
"V427",1.88052855837657,"V427","1","BAG","1"
"V428",2.17192166471554,"V428","1","BAG","1"
"V429",2.25010048064378,"V429","1","BAG","1"
"V430",2.27053471650784,"V430","1","BAG","1"
"V431",2.12144072567118,"V431","1","BAG","1"
"V432",1.63737490278249,"V432","1","BAG","1"
"V433",0.736259093179789,"V433","1","BAG","1"
"V434",4.78856592699466,"V434","1","BAG","1"
"V435",2.15975491965005,"V435","1","BAG","1"
"V436",1.94548788039102,"V436","1","BAG","1"
"V437",0.763788057759604,"V437","1","BAG","1"
"V438",2.11370232897161,"V438","1","BAG","1"
"V439",2.28718302965928,"V439","1","BAG","1"
"V440",1.61195319921393,"V440","1","BAG","1"
"V441",1.75190607592574,"V441","1","BAG","1"
"V442",1.88709598952406,"V442","1","BAG","1"
"V443",1.66421513869575,"V443","1","BAG","1"
"V444",1.01143346730814,"V444","1","BAG","1"
"V445",1.44367223225415,"V445","1","BAG","1"
"V446",7.77978441382612,"V446","1","BAG","1"
"V447",5.04762433879747,"V447","1","BAG","1"
"V448",3.3482127923967,"V448","1","BAG","1"
"V449",1.26452044345065,"V449","1","BAG","1"
"V450",1.79090053029071,"V450","1","BAG","1"
"V451",2.2472456097782,"V451","1","BAG","1"
"V452",1.23537005378954,"V452","1","BAG","1"
"V453",2.2221719969508,"V453","1","BAG","1"
"V454",1.45311691516417,"V454","1","BAG","1"
"V455",1.21924878062641,"V455","1","BAG","1"
"V456",3.09819722442231,"V456","1","BAG","1"
"V457",2.17775037742131,"V457","1","BAG","1"
"V458",0.761377262615535,"V458","1","BAG","1"
"V459",1.55513649030314,"V459","1","BAG","1"
"V460",2.45045769064372,"V460","1","BAG","1"
"V461",1.60462727294285,"V461","1","BAG","1"
"V462",1.49259159857188,"V462","1","BAG","1"
"V463",4.7060415777638,"V463","1","BAG","1"
"V464",2.47267027092386,"V464","1","BAG","1"
"V465",1.72295414432378,"V465","1","BAG","1"
"V466",2.30200347074187,"V466","1","BAG","1"
"V467",2.09500441052817,"V467","1","BAG","1"
"V468",2.06519011284753,"V468","1","BAG","1"
"V469",1.57109734570133,"V469","1","BAG","1"
"V470",1.9348475267308,"V470","1","BAG","1"
"V471",1.84756430973914,"V471","1","BAG","1"
"V472",2.32341493226064,"V472","1","BAG","1"
"V473",1.16468839945565,"V473","1","BAG","1"
"V474",1.43639785716808,"V474","1","BAG","1"
"V475",1.71523008203949,"V475","1","BAG","1"
"V476",3.15043058142283,"V476","1","BAG","1"
"V477",1.37196646570748,"V477","1","BAG","1"
"V478",2.11113901604094,"V478","1","BAG","1"
"V479",1.68546162500013,"V479","1","BAG","1"
"V480",3.67428597921086,"V480","1","BAG","1"
"V481",3.14222764823868,"V481","1","BAG","1"
"V482",3.4060259013017,"V482","1","BAG","1"
"V483",3.75734371675452,"V483","1","BAG","1"
"V484",1.27739292534539,"V484","1","BAG","1"
"V485",1.99751031525225,"V485","1","BAG","1"
"V486",1.44881040263143,"V486","1","BAG","1"
"V487",0.943515657985434,"V487","1","BAG","1"
"V488",1.85513909564526,"V488","1","BAG","1"
"V489",2.12281407116285,"V489","1","BAG","1"
"V490",1.25072088562739,"V490","1","BAG","1"
"V491",1.90768977576543,"V491","1","BAG","1"
"V492",2.10840037977267,"V492","1","BAG","1"
"V493",0.980759505459206,"V493","1","BAG","1"
"V494",4.91605977644971,"V494","1","BAG","1"
"V495",2.83519010260733,"V495","1","BAG","1"
"V496",1.5325951679348,"V496","1","BAG","1"
"V497",1.97387955149294,"V497","1","BAG","1"
"V498",1.57582374219729,"V498","1","BAG","1"
"V499",0.799094306790713,"V499","1","BAG","1"
"V500",2.16723523197029,"V500","1","BAG","1"
"V501",2.19495658236138,"V501","1","BAG","1"
"V502",1.69741363630168,"V502","1","BAG","1"
"V503",0.95150517878035,"V503","1","BAG","1"
"V504",2.48758466323875,"V504","1","BAG","1"
"V505",1.50919955195164,"V505","1","BAG","1"
"V506",1.25859295539557,"V506","1","BAG","1"
"V507",2.3627072241987,"V507","1","BAG","1"
"V508",1.57757321386643,"V508","1","BAG","1"
"V509",2.97938564645056,"V509","1","BAG","1"
"V510",2.74738895413794,"V510","1","BAG","1"
"V511",4.15501293534665,"V511","1","BAG","1"
"V512",1.54714325392151,"V512","1","BAG","1"
"V513",1.25944047441817,"V513","1","BAG","1"
"V514",1.55738851082122,"V514","1","BAG","1"
"V515",1.11732070129872,"V515","1","BAG","1"
"V516",1.76592793386806,"V516","1","BAG","1"
"V517",1.79707746344555,"V517","1","BAG","1"
"V518",3.02553496940588,"V518","1","BAG","1"
"V519",3.29466584731808,"V519","1","BAG","1"
"V520",4.74209890586441,"V520","1","BAG","1"
"V521",2.86518022843126,"V521","1","BAG","1"
"V522",2.14070614398903,"V522","1","BAG","1"
"V523",2.94922226801277,"V523","1","BAG","1"
"V524",1.1539114768303,"V524","1","BAG","1"
"V525",2.74759886538737,"V525","1","BAG","1"
"V526",1.80275303225863,"V526","1","BAG","1"
"V527",2.04385283085232,"V527","1","BAG","1"
"V528",1.5954618983385,"V528","1","BAG","1"
"V529",1.57936313340584,"V529","1","BAG","1"
"V530",2.202925419032,"V530","1","BAG","1"
"V531",2.05376506576862,"V531","1","BAG","1"
"V532",2.06269662356402,"V532","1","BAG","1"
"V533",1.72738394449035,"V533","1","BAG","1"
"V534",1.16552231888671,"V534","1","BAG","1"
"V535",1.8505194687217,"V535","1","BAG","1"
"V536",1.59842729581482,"V536","1","BAG","1"
"V537",1.36684318212912,"V537","1","BAG","1"
"V538",1.10883536608355,"V538","1","BAG","1"
"V539",2.16104853745014,"V539","1","BAG","1"
"V540",1.80118159265862,"V540","1","BAG","1"
"V541",2.35851964615605,"V541","1","BAG","1"
"V542",3.41639872533492,"V542","1","BAG","1"
"V543",1.15635268528499,"V543","1","BAG","1"
"V544",1.80954206282704,"V544","1","BAG","1"
"V545",2.07445930609775,"V545","1","BAG","1"
"V546",1.3971057231243,"V546","1","BAG","1"
"V547",1.81560512516392,"V547","1","BAG","1"
"V548",1.55447499579315,"V548","1","BAG","1"
"V549",2.11130219998877,"V549","1","BAG","1"
"V550",2.5194291024264,"V550","1","BAG","1"
"V551",2.4087647709238,"V551","1","BAG","1"
"V552",2.94397350897952,"V552","1","BAG","1"
"V553",2.10528844469253,"V553","1","BAG","1"
"V554",1.887950342381,"V554","1","BAG","1"
"V555",1.37592233355863,"V555","1","BAG","1"
"V556",0.914290199438859,"V556","1","BAG","1"
"V557",2.45583387001279,"V557","1","BAG","1"
"V558",1.74567203604498,"V558","1","BAG","1"
